# k, Pcc, Pcchi
1.143031129114478576e-04 4.912182037706671736e+02 4.912182037706671736e+02
1.161622632608501755e-04 4.989307482887869583e+02 4.989307482887869583e+02
1.180516528568805612e-04 5.067609976048157705e+02 5.067609976048157705e+02
1.199717735435884303e-04 5.147172046568600763e+02 5.147172046568600763e+02
1.219231251649110739e-04 5.227948242464079840e+02 5.227948242464079840e+02
1.239062156947915523e-04 5.310023562703117932e+02 5.310023562703117932e+02
1.259215613694150942e-04 5.393351243346235151e+02 5.393351243346235151e+02
1.279696868215941395e-04 5.478018828384447261e+02 5.478018828384447261e+02
1.300511252173409775e-04 5.563978201376819470e+02 5.563978201376819470e+02
1.321664183946604919e-04 5.651319529710959841e+02 5.651319529710959841e+02
1.343161170046015297e-04 5.739993257446086545e+02 5.739993257446086545e+02
1.365007806546013845e-04 5.830092292010134543e+02 5.830092292010134543e+02
1.387209780541621008e-04 5.921565530397139128e+02 5.921565530397139128e+02
1.409772871628967624e-04 6.014508760739096260e+02 6.014508760739096260e+02
1.432702953409830901e-04 6.108869287737117020e+02 6.108869287737117020e+02
1.456005995020648411e-04 6.204745877252593118e+02 6.204745877252593118e+02
1.479688062686396112e-04 6.302084189206568681e+02 6.302084189206568681e+02
1.503755321299738291e-04 6.400986062937208771e+02 6.400986062937208771e+02
1.528214036025870941e-04 6.501395458348187049e+02 6.501395458348187049e+02
1.553070573933459984e-04 6.603417387002184569e+02 6.603417387002184569e+02
1.578331405652116427e-04 6.706994051751830739e+02 6.706994051751830739e+02
1.604003107056819902e-04 6.812233738218085364e+02 6.812233738218085364e+02
1.630092360979741085e-04 6.919076832915634441e+02 6.919076832915634441e+02
1.656605958949915094e-04 7.027635000845190234e+02 7.027635000845190234e+02
1.683550802961202269e-04 7.137846684870800118e+02 7.137846684870800118e+02
1.710933907269013374e-04 7.249827088992980180e+02 7.249827088992980180e+02
1.738762400216250527e-04 7.363512514650844878e+02 7.363512514650844878e+02
1.767043526088946863e-04 7.479021930448228659e+02 7.479021930448228659e+02
1.795784647002096894e-04 7.596289426229240007e+02 7.596289426229240007e+02
1.824993244816152445e-04 7.715437877517083507e+02 7.715437877517083507e+02
1.854676923084697527e-04 7.836399083319264491e+02 7.836399083319264491e+02
1.884843409033795203e-04 7.959299959604617243e+02 7.959299959604617243e+02
1.915500555573527660e-04 8.084069928852529756e+02 8.084069928852529756e+02
1.946656343342263208e-04 8.210840085364164906e+02 8.210840085364164906e+02
1.978318882784164360e-04 8.339537386401832464e+02 8.339537386401832464e+02
2.010496416260497009e-04 8.470297246971109644e+02 8.470297246971109644e+02
2.043197320195270323e-04 8.603044067286371046e+02 8.603044067286371046e+02
2.076430107255774669e-04 8.737917730084998311e+02 8.737917730084998311e+02
