# k, dcTc13, dcTc13_EdS, dcTx13, dcTx13_EdS, PL_cc, TL_x 
0.05 -58.153 -58.995 -51.436 -47.901 2923.6 0.9211368720642467
0.054132 -62.701 -63.629 -55.319 -51.567 2701.7 0.9124261508822792
0.058605 -68.32 -69.2 -60.055 -55.964 2517.1 0.9029146983006477
0.063448 -74.275 -75.316 -65.046 -60.755 2346.7 0.8925551424614794
0.068691 -80.139 -81.173 -69.892 -65.297 2165.7 0.881301576856558
0.074368 -84.599 -85.554 -73.498 -68.583 1953.3 0.8691104059559449
0.080513 -86.247 -87.23 -74.521 -69.654 1704.7 0.8559412824731757
0.087166 -85.341 -86.181 -73.257 -68.477 1441.3 0.841758128551931
0.09437 -83.158 -83.998 -70.895 -66.372 1201.4 0.826530228817
0.10217 -82.464 -83.114 -69.758 -65.245 1016.5 0.8102333784106973
0.11061 -85.316 -85.927 -71.591 -66.936 898.71 0.792851063955489
0.11975 -91.656 -92.504 -76.011 -71.432 826.99 0.7743756500188642
0.12965 -98.48 -99.188 -80.821 -75.819 757.69 0.7548095383392022
0.14036 -99.811 -100.57 -80.838 -75.974 656.46 0.7341662620906863
0.15196 -95.531 -96.112 -76.334 -71.645 536.28 0.7124714731632105
0.16452 -92.26 -92.738 -72.519 -68.081 441.99 0.6897637771943487
0.17811 -95.401 -95.924 -73.64 -69.23 390.4 0.6660953693249665
0.19283 -101.35 -101.69 -76.7 -71.977 353.72 0.6415324237694293
0.20877 -100.2 -100.51 -74.12 -69.616 298.59 0.6161551926769473
0.22602 -95.792 -96.081 -69.151 -64.95 243.73 0.5900577747262254
0.2447 -97.404 -97.695 -68.373 -64.282 211.68 0.563347521645658
0.26492 -99.728 -99.848 -67.923 -63.76 184.79 0.5361440614382196
0.28681 -96.306 -96.41 -63.493 -59.571 152.35 0.5085779303747651
0.31051 -96.307 -96.403 -61.147 -57.45 130.04 0.48078882143963897
0.33617 -96.131 -96.359 -58.625 -55.193 111 0.452923474266373
0.36395 -94.018 -94.13 -54.916 -51.638 92.572 0.42513324984988543
0.39402 -93.752 -93.921 -52.246 -49.161 78.851 0.3975714514153097
0.42658 -91.94 -91.948 -48.682 -45.74 65.94 0.37039046955703725
0.46184 -90.998 -91.009 -45.631 -42.856 55.7 0.34373884385405784
0.5 -89.304 -89.259 -42.254 -39.622 46.623 0.3177583433687081
