# k, dcTc22, dcTc22_EdS, dcTx22, dcTx22_EdS, PL_cc, TL_x 
0.05 22.519 22.561 17.436 16.454 2315.3 0.5915585744683196
0.054132 25.346 25.26 19.011 17.792 2150.8 0.5648800571101951
0.058605 28.198 28.212 20.455 19.136 2016.3 0.5377012262321665
0.063448 31.409 31.429 21.894 20.468 1892.4 0.5101520415175869
0.068691 34.811 34.952 23.361 21.788 1758.2 0.48237172884514834
0.074368 38.664 38.777 24.836 23.044 1597.3 0.45450668961478247
0.080513 42.623 42.663 26.125 24.063 1405.2 0.42670809189803727
0.087166 46.345 46.421 26.94 24.717 1198.3 0.3991292037892613
0.09437 49.756 49.888 27.312 24.918 1007.4 0.3719225461786557
0.10217 52.869 53.014 27.353 24.702 859.72 0.34523695644531305
0.11061 56.024 56.036 27.157 24.249 766.94 0.3192146650219678
0.11975 59.195 59.278 26.976 23.743 711.96 0.2939884923014069
0.12965 62.548 62.763 26.423 23.202 657.91 0.2696792730933023
0.14036 65.935 66.286 25.756 22.496 574.99 0.24639360933899024
0.15196 68.822 69.115 24.779 21.359 473.76 0.22422203906393
0.16452 71.402 71.352 23.637 19.931 393.79 0.203237691128475
0.17811 73.458 73.475 22.344 18.486 350.72 0.18349547228091012
0.19283 75.774 75.874 20.94 17.166 320.31 0.1650318068318768
0.20877 77.877 78.152 19.623 15.802 272.47 0.14786492179785427
0.22602 79.133 79.312 18.007 14.222 224.06 0.1319956436110239
0.2447 80.381 80.457 16.52 12.755 195.98 0.1174086484363901
0.26492 81.538 81.647 15.042 11.42 172.24 0.10407408851278532
0.28681 82.203 82.401 13.557 10.098 142.91 0.09194950306149963
0.31051 82.666 82.671 12.209 8.8521 122.71 0.08098191495848539
0.33617 83.035 82.977 10.919 7.7467 105.33 0.07111001369814574
0.36395 82.855 82.908 9.6504 6.7107 88.305 0.062266330740854414
0.39402 82.379 82.54 8.469 5.792 75.58 0.05437932415912172
0.42658 81.873 81.893 7.4244 4.9661 63.489 0.04737530422187319
0.46184 81.26 81.201 6.4739 4.2444 53.849 0.04118014862160635
0.5 80.176 80.175 5.5973 3.6097 45.244 0.03572077386985484
