# k, dcTc22, dcTc22_EdS, dcTx22, dcTx22_EdS, PL_cc, TL_x 
0.05 21.252 21.333 14.932 13.845 2265.4 0.5153977434590931
0.054132 23.815 23.873 16.108 14.804 2107.3 0.487650194176418
0.058605 26.601 26.686 17.251 15.764 1978.3 0.45978971564735804
0.063448 29.78 29.787 18.469 16.699 1859.2 0.4319667701270484
0.068691 33.05 33.206 19.518 17.604 1729.6 0.40433444195791246
0.074368 36.595 36.904 20.408 18.418 1573.2 0.37704561794193836
0.080513 40.63 40.626 21.304 18.987 1385.7 0.3502500603478511
0.087166 44.134 44.353 21.722 19.283 1183.1 0.32409147287103046
0.09437 47.477 47.709 21.868 19.179 995.79 0.2987046663928097
0.10217 50.716 50.846 21.821 18.763 850.72 0.2742129322688269
0.11061 53.707 53.815 21.451 18.148 759.68 0.2507257255726225
0.11975 56.881 56.974 20.975 17.514 705.88 0.22833674914827284
0.12965 60.277 60.467 20.409 16.889 652.87 0.2071225119204847
0.14036 63.733 64.045 19.787 16.156 571.06 0.1871414126295612
0.15196 66.881 66.957 19.017 15.128 470.87 0.16843337443379625
0.16452 68.955 69.145 17.789 13.88 391.66 0.1510200284420975
0.17811 71.206 71.357 16.649 12.69 349.05 0.1349054171975581
0.19283 73.62 73.658 15.519 11.604 318.96 0.12007716442190386
0.20877 75.825 75.846 14.384 10.523 271.46 0.10650803674950549
0.22602 77.116 77.205 13.138 9.347 223.33 0.09415780813939989
0.2447 78.478 78.292 11.938 8.2573 195.43 0.08297532903715421
0.26492 79.718 79.692 10.826 7.3156 171.81 0.07290070044089703
0.28681 80.317 80.424 9.6637 6.3838 142.6 0.06386745746898725
0.31051 80.941 80.752 8.6415 5.5323 122.48 0.05580467694661273
0.33617 81.094 81.078 7.6515 4.79 105.16 0.048638937630272494
0.36395 81.317 81.031 6.7694 4.1078 88.181 0.04229607843419103
0.39402 80.651 80.795 5.8819 3.5157 75.488 0.03670271781626866
0.42658 80.293 80.326 5.1205 2.9917 63.423 0.03178751485049247
0.46184 79.434 79.492 4.432 2.5359 53.801 0.027482168233291304
0.5 78.655 78.564 3.834 2.1438 45.209 0.023722162667951352
