# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, dxdx22, dxdx22_EdS, PL_cc, TL_x 
0.05 160.79 159.14 132.74 129.9 161.2 157.38 131.5 141.62 163.68 155.64 6582.7 0.98895
0.052151 172.58 170.93 143.11 140.04 172.64 168.74 141.6 153.1 174.92 166.57 6251.6 0.98714
0.054394 184.59 183.12 153.81 150.49 184.3 180.4 152.01 164.98 186.36 177.72 5943.1 0.98513
0.056734 197.06 195.67 164.68 161.3 196.3 192.32 162.5 177.31 198.02 189.03 5651.1 0.98291
0.059175 210.66 208.38 176.47 172.33 209.21 204.31 173.79 189.94 210.41 200.32 5373.7 0.98048
0.06172 224.35 221.44 188.46 183.6 222.14 216.53 185.21 202.87 222.72 211.72 5110.8 0.97781
0.064375 236.22 234.62 199.66 195.05 233.18 228.72 195.86 216.06 232.99 222.97 4857.1 0.97485
0.067144 250.46 248.02 211.25 206.7 246.06 240.97 206.48 229.49 244.72 234.12 4607.1 0.97158
0.070033 264.6 261.61 223.94 218.54 258.86 253.22 218.28 243.14 256.31 245.1 4357.3 0.96794
0.073045 277.26 275.38 235.53 230.55 270.03 265.42 228.84 256.95 266.11 255.83 4103.5 0.96386
0.076187 290.96 289.01 247.69 242.46 281.63 277.24 239.7 270.6 275.81 265.95 3841.7 0.95927
0.079465 304.58 302.46 259.9 254.35 293.05 288.56 250.53 284.11 285.21 275.31 3570.8 0.95407
0.082883 317.69 315.63 271.73 266 303.58 299.28 260.75 297.22 293.37 283.77 3293 0.94819
0.086448 329.79 328.17 282.88 277.26 312.64 309.02 270.08 309.71 299.69 290.98 3012.2 0.94163
0.090167 341.36 340.02 293.42 287.99 320.73 317.71 278.51 321.41 304.68 296.86 2735.3 0.93438
0.094046 353.62 350.73 304.34 297.82 329.16 324.89 287.03 331.83 309.74 300.95 2475.5 0.92632
0.098091 362.16 360.38 312.89 306.86 333.51 330.65 293.09 341.07 310.45 303.37 2239.6 0.91749
0.10231 370.97 368.71 321.63 314.77 337.69 334.73 299.13 348.73 310.72 303.88 2033.1 0.90784
0.10671 376.97 375.91 327.48 321.75 338.7 337.27 302.1 354.92 307.61 302.6 1862.9 0.8972
0.1113 383.14 381.95 332.81 327.78 339.07 338.23 304.11 359.6 303.41 299.5 1727.1 0.88552
0.11609 388.37 387.33 339.33 333.13 338.58 338.06 307.1 363.03 298.43 295.06 1617 0.8728
0.12108 393.25 392.4 343.05 338.13 336.83 337.09 306.88 365.56 291.74 289.58 1525.4 0.85905
0.12629 397.34 396.96 347.79 342.7 334.04 335.11 307.38 367.04 284 282.9 1442.3 0.84419
0.13172 401.14 401.77 351.32 347.37 330.17 332.66 306.61 367.91 274.94 275.44 1355.8 0.82799
0.13739 404.8 406.27 355.06 351.79 326.1 329.27 305.21 367.75 265.91 266.87 1259 0.81049
0.1433 408.56 410.38 358.79 355.88 321.38 324.96 303.98 366.55 255.9 257.32 1149.2 0.79184
0.14947 413.8 413.67 363.59 359.27 317.12 319.33 302.91 363.85 246.11 246.51 1032.9 0.77194
0.1559 414.18 415.59 364.31 361.64 308.45 312.03 298.06 359.32 232.73 234.27 918.93 0.7508
0.1626 415.35 416.41 365.62 363.02 299.95 303.35 294.08 353.06 219.54 220.99 819.29 0.72849
0.1696 413.57 415.49 365.21 362.93 289.87 292.93 287.46 344.66 206.05 206.52 740.18 0.70502
0.17689 411.92 414.02 364.04 362.29 278.44 281.7 280.78 335.04 191.03 191.67 680.53 0.6804
0.1845 409.74 411.78 362.16 360.98 266.85 269.59 272.74 324.14 176.62 176.5 635.94 0.6547
0.19244 406.86 409.75 360.52 359.72 255.12 257.3 264.61 312.63 162.67 161.57 596.9 0.62795
0.20072 405.39 407.84 359.03 358.58 243.44 244.86 256.78 300.7 148.86 147.01 553.81 0.60037
0.20935 404.78 406.27 358.69 357.64 232.78 232.44 249.82 288.44 136.34 132.98 503.32 0.57212
0.21835 401.73 403.67 356.8 355.86 220.56 219.3 241.63 275.08 123.42 119.14 449.66 0.54326
0.22775 397.1 400.17 353.36 353.38 207.67 205.68 231.92 260.87 110.76 105.72 400.91 0.514
0.23754 394.59 395.86 351.13 350.11 195.96 191.8 223.56 245.92 99.336 92.93 361.88 0.48452
0.24776 387.79 391.27 345.32 346.63 182.58 177.97 212.77 230.74 87.786 80.953 333.93 0.45486
0.25842 383.35 386.67 342.02 343.04 170.63 164.48 203.75 215.57 77.596 69.966 310.38 0.42537
0.26954 380.45 382.8 339.41 340.08 159.85 151.64 195.37 200.89 68.642 60.071 285.51 0.39614
0.28113 375.71 378.36 335.6 336.55 148.67 139.02 186.35 186.11 60.113 51.078 257.9 0.36743
0.29322 370.2 373.77 330.99 332.95 137.48 126.84 176.9 171.65 52.152 43.046 231.43 0.33936
0.30584 366.55 368.67 327.81 328.91 127.71 115.05 168.87 157.38 45.436 35.901 209.75 0.31206
0.31899 361.13 363.36 323.45 324.67 117.82 103.82 160.04 143.57 39.23 29.664 192.78 0.28572
0.33272 356.35 358.65 319.36 320.86 108.79 93.412 151.91 130.54 33.861 24.33 177.33 0.26046
0.34703 350.11 353.98 314.76 317.1 99.89 83.635 143.96 118.11 29.011 19.761 161.1 0.23627
0.36196 345.26 349.14 310.66 313.19 91.958 74.576 136.39 106.43 24.907 15.929 145.4 0.2136
0.37753 341.08 344.28 306.98 309.25 84.713 66.166 129.51 95.411 21.368 12.716 132.54 0.19219
0.39377 336.78 339.47 303.59 305.3 78.006 58.502 123.24 85.208 18.311 10.082 121.49 0.17233
0.41071 331.22 334.84 299.03 301.53 71.577 51.537 116.49 75.823 15.65 7.9325 110.76 0.15392
0.42837 329.04 330.09 297.06 297.65 66.208 45.161 111.09 67.109 13.458 6.1788 100.54 0.13682
0.4468 322.19 325.53 291.59 293.9 60.468 39.445 104.72 59.194 11.441 4.7796 91.616 0.12117
0.46602 319.24 320.98 288.83 290.16 55.873 34.339 99.674 52.037 9.8432 3.6736 83.662 0.10698
0.48607 314.64 316.7 285.04 286.63 51.431 29.779 94.378 45.56 8.4483 2.8 76.171 0.094028
0.50697 310.95 312.39 281.68 283.03 47.466 25.702 89.693 39.694 7.2728 2.1147 69.341 0.082277
0.52878 306.68 308 278.43 279.39 43.766 22.101 84.927 34.45 6.2609 1.5859 63.218 0.071758
0.55153 301.93 303.77 274.67 275.86 40.311 19.01 80.292 29.894 5.3894 1.1896 57.549 0.06258
0.57525 298.22 299.66 271.43 272.42 37.273 16.307 76.111 25.867 4.661 0.88741 52.423 0.054418
0.6 294.72 295.48 268.25 268.9 34.532 13.938 72.177 22.3 4.0456 0.65752 47.755 0.047173
