# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, PL_cc, TL_x 
0.38065 280.39 281.28 253.65 254.05 73.723 75.224 104.73 111.34 109.63 0.26743
0.39536 276.9 277.44 250.64 250.83 69.561 71.086 99.776 106.2 100.91 0.25622
0.41064 273 273.68 247.47 247.69 65.483 67.124 94.842 101.21 92.31 0.24526
0.42651 269.06 269.83 244.1 244.45 61.551 63.291 90.013 96.309 84.558 0.23456
0.443 265.38 266.14 240.98 241.38 57.855 59.646 85.414 91.597 77.891 0.22411
0.46012 261.52 262.65 237.84 238.42 54.289 56.193 80.917 87.058 71.692 0.21394
0.4779 258.27 259.05 235.01 235.41 50.999 52.86 76.722 82.627 65.764 0.20405
0.49637 254.94 255.43 232.1 232.36 47.841 49.665 72.637 78.317 60.341 0.19444
0.51556 251.4 251.97 229.16 229.41 44.806 46.644 68.642 74.173 55.465 0.18512
0.53548 248.12 248.81 226.34 226.76 41.961 43.813 64.855 70.264 50.938 0.17609
0.55618 244.77 245.02 223.44 223.52 39.243 41.004 61.188 66.305 46.767 0.16735
0.57767 241.25 242.02 220.51 220.96 36.643 38.459 57.629 62.69 42.96 0.15891
0.6 238.31 238.46 217.94 217.91 34.261 35.951 54.332 59.07 39.446 0.15076
