# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.05 -167.76 -168.78 -243.84 -247.78 -159.52 -166.92 -221.17 -247.34 -150.44 -165.09 6582.7 0.989 -247.15
0.054473 -182.52 -183.63 -259.5 -263.74 -172.76 -180.89 -234.93 -262.95 -162.17 -178.2 5932.9 0.9851 -263.36
0.059347 -198.99 -200.18 -276.8 -281.26 -187.3 -196.24 -250.06 -280.01 -174.84 -192.38 5354.6 0.98031 -280.76
0.064656 -216.82 -218.05 -295.16 -299.85 -202.65 -212.49 -265.99 -298.05 -187.86 -207.08 4831 0.97454 -298.82
0.070441 -234.47 -235.66 -312.43 -317.2 -217.22 -227.99 -280.7 -314.69 -199.65 -220.56 4322.8 0.96745 -314.98
0.076742 -248.75 -250.06 -324.57 -329.57 -227.92 -239.67 -290.51 -326.1 -207.21 -229.72 3795.6 0.95848 -325.32
0.083608 -256.17 -257.4 -327.48 -332.37 -231.49 -243.74 -291.66 -327.57 -207.59 -230.8 3234.9 0.94694 -325.08
0.091088 -255.64 -256.82 -320.37 -325.01 -227.04 -239.49 -283.44 -318.56 -200.16 -223.32 2671.7 0.93251 -313.84
0.099237 -251.7 -252.68 -309.41 -313.69 -218.89 -231.2 -271.5 -305.29 -189.01 -211.55 2177.6 0.91501 -297.93
0.10812 -253.77 -254.74 -306.24 -310.29 -215.11 -227.7 -265.89 -299.19 -181.11 -203.54 1818.4 0.89387 -288.52
0.11779 -266.74 -267.47 -316.16 -320.02 -219.17 -232.23 -270.84 -304.72 -178.94 -201.64 1583.8 0.86827 -289.66
0.12833 -286.57 -287.23 -333.87 -337.64 -226.83 -240.76 -281.21 -316.36 -178.47 -201.81 1410.5 0.83821 -295.65
0.13981 -297.38 -297.84 -340.78 -344.26 -225.09 -239.18 -280.94 -315.87 -169.44 -192.07 1214.4 0.80304 -289.43
0.15231 -289.41 -289.61 -326.41 -329.33 -207.72 -220.91 -261.97 -294.19 -148.35 -168.5 980.86 0.76278 -263.55
0.16594 -276.27 -276.42 -306.92 -309.42 -186.24 -198.32 -238.22 -267.23 -124.99 -142.28 777.98 0.71745 -233.44
0.18079 -280.43 -280.3 -307.08 -309.08 -175.66 -187.03 -228.65 -255.86 -109.61 -124.79 656.56 0.66723 -217.39
0.19696 -294.72 -294.46 -318.34 -320.04 -169.52 -180.47 -225.2 -251.42 -97.182 -110.61 574.22 0.61289 -207.29
0.21458 -290.69 -290.32 -309.91 -311.26 -151.57 -161.22 -206.05 -229.39 -78.82 -89.529 471.55 0.55532 -183.11
0.23378 -277.9 -277.53 -292.68 -293.67 -129.51 -137.57 -180.57 -200.36 -60.227 -68.195 375.76 0.49571 -154.61
0.25469 -282.34 -281.69 -293.95 -294.48 -115.84 -122.66 -165.95 -183.25 -47.454 -53.411 318.39 0.43544 -136.52
0.27748 -283.18 -282.61 -291.68 -292.1 -100.66 -106.32 -148.36 -163.14 -35.743 -39.998 266.56 0.37621 -117.25
0.30231 -273.69 -273.09 -279.13 -279.32 -82.849 -87.198 -125.73 -137.54 -25.066 -27.842 215.2 0.3193 -95.352
0.32935 -275.56 -274.93 -278.54 -278.54 -69.814 -73.209 -109.09 -118.7 -17.684 -19.494 181.15 0.26628 -79.435
0.35882 -270.28 -269.77 -270.96 -270.94 -56.289 -58.833 -90.498 -98.014 -11.723 -12.831 148.62 0.21809 -63.371
0.39092 -267.97 -267.43 -266.67 -266.53 -45.055 -46.937 -74.437 -80.252 -7.5764 -8.238 123.33 0.17551 -50.226
0.42589 -264.07 -263.62 -261.08 -260.92 -35.226 -36.616 -59.693 -64.133 -4.6996 -5.0859 101.81 0.1389 -38.94
0.46399 -261.54 -261.13 -257.05 -256.89 -27.226 -28.264 -47.221 -50.607 -2.8343 -3.0592 84.467 0.10824 -29.889
0.5055 -257.63 -257.32 -251.91 -251.8 -20.594 -21.366 -36.467 -39.002 -1.6461 -1.7741 69.78 0.083034 -22.48
0.55073 -254.22 -253.98 -247.45 -247.34 -15.384 -15.963 -27.743 -29.627 -0.93068 -1.0034 57.742 0.062854 -16.715
0.6 -250.59 -250.38 -242.92 -242.83 -11.339 -11.778 -20.77 -22.16 -0.51276 -0.55403 47.755 0.04704 -12.28
