# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.05 -226.18 -226.18 -337.93 -338.66 -225.34 -226.18 -333.94 -338.66 -224.06 -226.18 7489.4 1 -338.51
0.052151 -239.76 -239.63 -354.2 -355.27 -238.86 -239.63 -349.92 -355.27 -237.5 -239.63 7242.2 1 -356.18
0.054394 -254.08 -254.69 -372.29 -373.71 -253.13 -254.69 -367.91 -373.71 -251.69 -254.69 7019.5 1 -375.65
0.056734 -270.53 -270.74 -392.71 -393.26 -269.42 -270.74 -387.88 -393.26 -267.8 -270.74 6811.3 1 -396.41
0.059175 -287.66 -287.95 -412.76 -414.06 -286.55 -287.95 -407.78 -414.06 -284.9 -287.95 6612.1 1 -418.5
0.06172 -305.35 -306.28 -434.4 -435.98 -304.13 -306.28 -429.16 -435.98 -302.34 -306.28 6415.5 1 -441.75
0.064375 -325.36 -325.53 -457.49 -458.43 -323.96 -325.53 -451.76 -458.43 -321.96 -325.53 6212.3 1 -465.59
0.067144 -343.68 -344.27 -478.57 -479.99 -342.31 -344.27 -472.47 -479.99 -340.32 -344.27 5994.7 1 -488.62
0.070033 -362.25 -362.54 -497.98 -500.29 -360.67 -362.54 -491.84 -500.29 -358.45 -362.54 5754.9 1 -510.36
0.073045 -379.8 -379.1 -516.86 -517.81 -378.15 -379.1 -510.34 -517.81 -375.84 -379.1 5487 1 -529.32
0.076187 -392.4 -393.35 -529.28 -531.96 -390.41 -392.95 -522.27 -531.88 -387.74 -392.55 5191.1 0.99898 -544.36
0.079465 -404.98 -404.68 -540.92 -541.82 -403 -404.2 -534.3 -541.73 -400.35 -403.73 4869.2 0.99883 -555.35
0.082883 -412.07 -412.69 -545.55 -547.11 -409.94 -412.13 -538.64 -547 -407.12 -411.57 4527.5 0.99864 -561.64
0.086448 -415.96 -417.58 -545.64 -548.24 -413.68 -416.93 -538.49 -548.11 -410.72 -416.28 4178 0.99843 -563.53
0.090167 -419.83 -420.56 -544.35 -546.61 -417.18 -419.8 -537.06 -546.46 -413.82 -419.04 3832.6 0.99819 -562.44
0.094046 -421.74 -422.4 -541.52 -543.87 -419.18 -421.51 -534.77 -543.7 -415.94 -420.63 3510 0.99791 -560.21
0.098091 -424.34 -424.96 -540.18 -541.98 -421.35 -423.94 -532.81 -541.78 -417.67 -422.91 3219.2 0.99759 -558.67
0.10231 -428.69 -429.38 -541.37 -542.55 -425.73 -428.19 -534.21 -542.32 -422.11 -427 2966 0.99722 -559.61
0.10671 -438.37 -437.94 -547.87 -548.45 -434.95 -436.54 -540.6 -548.16 -430.83 -435.14 2757.4 0.9968 -565.94
0.1113 -451.52 -451.22 -559.35 -559.92 -447.75 -449.55 -552.01 -559.58 -443.28 -447.9 2589 0.99632 -577.92
0.11609 -468.47 -467.79 -574.46 -575.36 -464.28 -465.8 -566.57 -574.95 -459.39 -463.83 2446.7 0.99576 -593.86
0.12108 -484.33 -485.75 -589.93 -592.46 -479.53 -483.38 -581.66 -591.96 -474 -481.02 2317.6 0.99513 -611.45
0.12629 -500.63 -502.36 -604.93 -607.48 -495.16 -499.55 -596.59 -606.88 -488.96 -496.75 2185 0.9944 -626.67
0.13172 -513.15 -512.98 -614.37 -615.36 -507.22 -509.68 -605.55 -614.63 -500.58 -506.41 2035.1 0.99357 -634.45
0.13739 -514.32 -514.94 -610.52 -612.81 -507.8 -511.15 -601.63 -611.96 -500.59 -507.38 1863.1 0.99263 -631.35
0.1433 -505.49 -506.76 -596.01 -598.43 -498.56 -502.48 -587.32 -597.46 -490.99 -498.23 1673 0.99155 -615.91
0.14947 -490.1 -491.88 -574.12 -576.52 -482.39 -487.12 -565.54 -575.42 -474.07 -482.41 1481.4 0.99032 -592.62
0.1559 -473.25 -474.54 -549.59 -552.12 -465.18 -469.28 -540.91 -550.88 -456.57 -464.09 1304.6 0.98893 -566.7
