# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, PL_cc, TL_x 
0.05 165.18 167.44 136.98 138.04 144.68 144.5 130.94 132.03 6287.1 0.8630104178013722
0.054132 185.89 188.52 156.33 156.32 160.74 160.13 148.31 148.52 5693.1 0.8493662227414186
0.058605 206.93 209.99 174.17 175.13 176.26 175.28 164.05 165.14 5171.7 0.8346927426106957
0.063448 229.98 232.26 193.84 194.61 192.39 190.21 181.06 181.95 4692.3 0.8189621934648675
0.068691 252.01 254.65 213.35 214.19 206.96 204.27 197.38 198.34 4222.5 0.8021538574892864
0.074368 273.45 276.97 232.61 233.92 220.08 217.22 212.72 214.27 3727.7 0.7842552703093608
0.080513 296.45 298.08 252.76 252.73 233.26 228.11 228.33 228.7 3196.7 0.765263398977998
0.087166 314.3 317.4 269.54 270.34 241.25 236.52 240 241.33 2655.4 0.7451857754830946
0.09437 329.49 332.04 283.54 284.17 246.12 240.41 248.49 249.84 2170.4 0.724041545912534
0.10217 339.4 342.71 293.66 294.77 245.88 240.53 252.62 254.81 1799 0.7018623915645866
0.11061 346.58 349.81 301 302.25 242.88 237.42 253.81 256.4 1558.1 0.6786932756972572
0.11975 347.7 354.53 304.82 307.43 235.33 232.07 251.14 255.4 1401.2 0.6545929686852394
0.12965 355.47 360.23 312.2 313.23 231.32 226.81 250.85 254.28 1252.1 0.6296343054992661
0.14036 359.76 364.66 316.26 318.08 224.38 220.22 247.27 251.72 1057.5 0.6039041329942345
0.15196 362.12 366.7 318.73 320.65 215.61 211.77 241.82 246.75 843.12 0.5775029107569636
0.16452 362.42 363.25 320.12 318.8 205.42 199.98 234.79 237.9 680.64 0.5505439383596527
0.17811 357.14 357.17 315.91 314.59 191.67 186.85 223.46 227 589.11 0.5231521937574133
0.19283 343.68 351.89 306.71 310.8 174.47 174.35 208.2 216.2 521.67 0.49546278201628047
0.20877 342.83 347 304.85 307.23 163.61 162.26 198.34 205.36 430.09 0.4676190100875468
0.22602 337.67 339.17 301.3 301.17 151.1 149.16 187.01 192.78 344.61 0.439770121239456
0.2447 329.79 330.08 294.78 294.02 137.56 136.02 173.86 179.59 294.43 0.41206874107453295
0.26492 319.17 321.68 286.11 287.23 123.74 123.74 159.81 166.8 252.25 0.3846681046687985
0.28681 309.55 312.97 278.46 280.11 111.09 111.95 146.67 154.06 204.74 0.3577191500146437
0.31051 302.53 303.48 272.46 272.38 100.01 100.56 134.8 141.31 172.72 0.331367575352151
0.33617 290.73 295.23 262.94 265.63 88.274 90.268 121.51 129.46 145.56 0.3057509659383868
0.36395 283.49 286.17 257.06 258.1 78.671 80.412 110.56 117.68 120.32 0.28099609834567874
0.39402 275.19 277.8 250.2 251.13 69.518 71.453 99.719 106.66 101.69 0.2572165268437425
0.42658 268.19 269.92 244.14 244.53 61.408 63.3 89.906 96.326 84.529 0.23451054658822734
0.46184 260.76 262.07 237.44 237.92 53.884 55.81 80.465 86.541 71.095 0.2129596124966291
0.5 252.3 254.92 230.34 231.9 46.913 49.105 71.389 77.547 59.327 0.1926272716556916
