# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.05 -167.43 -168.79 -243.99 -245.25 -174.15 -166.92 -227.75 -267.37 -179.33 -165.08 6582.7 0.98895 -247.12
0.052151 -174.65 -175.81 -251.23 -252.62 -180.05 -173.55 -234.56 -276.19 -183.96 -171.32 6251.6 0.98714 -254.83
0.054394 -182.57 -183.37 -259.73 -260.55 -186.78 -180.65 -242.42 -285.64 -189.57 -177.96 5943.1 0.98513 -263.04
0.056734 -189.67 -191.29 -267.37 -268.78 -192.48 -188.02 -249.43 -295.46 -193.94 -184.81 5651.1 0.98291 -271.48
0.059175 -198.84 -199.54 -276.56 -277.29 -199.82 -195.64 -257.62 -305.63 -199.59 -191.83 5373.7 0.98048 -280.11
0.06172 -207.53 -208.25 -285.26 -286.2 -206.71 -203.63 -265.77 -316.25 -204.8 -199.11 5110.8 0.97781 -289.05
0.064375 -216.7 -217.18 -294.33 -295.21 -213.75 -211.72 -273.95 -327 -209.85 -206.39 4857.1 0.97485 -297.96
0.067144 -225.13 -226.06 -302.4 -303.92 -220.02 -219.64 -281.4 -337.42 -214.13 -213.39 4607.1 0.97158 -306.42
0.070033 -233.61 -234.61 -311.05 -312.04 -226.13 -227.09 -288.86 -347.15 -218.09 -219.81 4357.3 0.96794 -314.12
0.073045 -241.65 -242.45 -318.2 -319 -231.52 -233.69 -295.16 -355.52 -221.07 -225.24 4103.5 0.96386 -320.43
0.076187 -248.64 -249.09 -323.26 -324.28 -235.28 -238.95 -299.46 -361.91 -221.96 -229.21 3841.7 0.95927 -324.81
0.079465 -252.94 -254.04 -326.16 -327.29 -236.7 -242.37 -301.52 -365.6 -220.85 -231.24 3570.8 0.95407 -326.64
0.082883 -256.92 -257.07 -327.53 -327.8 -237.17 -243.75 -301.87 -366.27 -218.29 -231.12 3293 0.94819 -325.69
0.086448 -257.57 -258.03 -325.39 -325.68 -234.72 -242.97 -299.03 -363.8 -213.24 -228.79 3012.2 0.94163 -321.86
0.090167 -255.93 -257.07 -319.68 -321.26 -229.91 -240.2 -292.96 -358.54 -205.87 -224.44 2735.3 0.93438 -315.51
0.094046 -254.13 -255.23 -314.37 -315.84 -225.12 -236.42 -287.08 -351.9 -198.73 -219 2475.5 0.92632 -307.93
0.098091 -253.22 -253.31 -310.18 -310.46 -220.69 -232.41 -281.91 -345.07 -191.6 -213.23 2239.6 0.91749 -300.19
0.10231 -252.43 -252.24 -305.86 -306.25 -216.1 -228.99 -276.74 -339.28 -184.14 -207.89 2033.1 0.90784 -293.34
0.10671 -253.43 -253.51 -303.99 -304.95 -213.07 -227.45 -273.57 -336.4 -178.18 -204.07 1862.9 0.8972 -289
0.1113 -258.34 -257.72 -307.23 -307.25 -213.03 -228.22 -274.34 -337.08 -174.61 -202.09 1727.1 0.88552 -287.67
0.11609 -264.59 -264.61 -311.9 -312.68 -213.64 -230.95 -276.64 -340.74 -171.27 -201.58 1617 0.8728 -288.82
0.12108 -274.13 -273.66 -320.3 -320.6 -216.78 -235.09 -281.45 -346.61 -170.08 -201.96 1525.4 0.85905 -291.72
0.12629 -283.55 -283.61 -328.71 -329.48 -218.9 -239.42 -286.11 -352.88 -167.45 -202.11 1442.3 0.84419 -294.85
0.13172 -291.56 -292.23 -335.36 -336.73 -219.71 -241.96 -288.75 -356.63 -163.91 -200.34 1355.8 0.82799 -295.78
0.13739 -296.65 -297.34 -338.61 -339.91 -217.8 -240.99 -287.67 -355.34 -158.14 -195.32 1259 0.81049 -292.47
0.1433 -297.04 -297.37 -336.51 -337.33 -212.03 -235.47 -282.24 -347.45 -149.5 -186.46 1149.2 0.79184 -283.75
0.14947 -293.36 -292.76 -329.3 -329.63 -203.28 -226 -272.09 -333.83 -139 -174.46 1032.9 0.77194 -270.46
0.1559 -285.68 -285.3 -318.45 -318.87 -191.89 -214.2 -258.74 -316.83 -127.08 -160.82 918.93 0.7508 -254.6
0.1626 -277.3 -278.53 -307.23 -309.12 -180.08 -202.9 -244.85 -300.64 -115.17 -147.81 819.29 0.72849 -239.6
0.1696 -275.25 -275.52 -302.58 -303.69 -172.62 -194.25 -236.56 -288.4 -106.56 -136.95 740.18 0.70502 -227.91
0.17689 -277.13 -277.29 -302.65 -303.62 -167.29 -188.67 -231.14 -280.78 -99.323 -128.37 680.53 0.6804 -219.99
0.1845 -283.98 -283.6 -307.99 -308.53 -164.97 -185.67 -229.86 -277.04 -94.252 -121.56 635.94 0.6547 -215.19
0.19244 -290.59 -291.33 -313.6 -314.96 -161.97 -182.94 -227.87 -273.73 -88.79 -114.88 596.9 0.62795 -210.77
0.20072 -295.48 -295.73 -316.54 -317.8 -157.5 -177.55 -223.79 -266.5 -82.58 -106.6 553.81 0.60037 -203.4
0.20935 -293.81 -293.99 -312.7 -314.1 -149.55 -168.2 -214.65 -253.32 -74.924 -96.228 503.32 0.57212 -191.63
0.21835 -286.95 -287.27 -304.15 -305.19 -139.27 -156.06 -201.87 -235.9 -66.599 -84.783 449.66 0.54326 -176.85
0.22775 -280.17 -280.06 -294.96 -295.93 -129.24 -143.95 -189.23 -218.45 -58.811 -73.991 400.91 0.514 -162.29
0.23754 -276.36 -276.41 -289.52 -290.53 -120.92 -133.92 -179.07 -204.07 -52.267 -64.888 361.88 0.48452 -150.23
0.24776 -278.43 -278.8 -290.56 -291.57 -115.3 -126.81 -172.6 -194.09 -47.258 -57.683 333.93 0.45486 -141.57
0.25842 -283.43 -283.25 -294.37 -294.77 -110.76 -120.49 -167.68 -185.24 -42.922 -51.252 310.38 0.42537 -133.88
