# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, PL_cc, TL_x 
0.01 1.7896 1.7838 1.2659 1.26 1.73 1.7583 1.2605 1.2577 13361 0.98574
0.0106 2.2042 2.2053 1.5666 1.5639 2.1277 2.1709 1.5595 1.5606 13656 0.98438
0.011237 2.7172 2.7163 1.9387 1.9366 2.6215 2.6698 1.9293 1.932 13927 0.98291
0.011911 3.3372 3.3511 2.3923 2.3983 3.2174 3.2885 2.3809 2.3918 14170 0.9813
0.012626 4.1178 4.1144 2.9619 2.9598 3.9649 4.0303 2.9463 2.9508 14383 0.97956
0.013384 5.0412 5.0509 3.6477 3.6486 4.8499 4.9381 3.6278 3.636 14558 0.97767
0.014187 6.1912 6.1777 4.4961 4.4879 5.9471 6.027 4.469 4.4704 14692 0.97562
0.015039 7.5466 7.5344 5.4989 5.5016 7.2392 7.3339 5.4647 5.4774 14783 0.97339
0.015942 9.1563 9.1624 6.7175 6.7306 8.7682 8.8965 6.6725 6.6972 14826 0.97098
0.016898 11.081 11.107 8.1751 8.1979 10.596 10.756 8.1156 8.152 14816 0.96837
0.017913 13.451 13.437 9.9816 9.9649 12.84 12.974 9.9032 9.9021 14750 0.96554
0.018988 16.151 16.164 12.052 12.068 15.388 15.557 11.949 11.982 14623 0.96249
0.020128 19.326 19.394 14.52 14.574 18.362 18.603 14.383 14.458 14435 0.9592
0.021336 23.079 23.166 17.453 17.5 21.879 22.138 17.275 17.343 14184 0.95564
0.022617 27.668 27.542 21.065 20.933 26.153 26.215 20.831 20.723 13869 0.95181
0.023974 32.591 32.621 24.93 24.959 30.718 30.915 24.623 24.679 13492 0.94769
0.025413 38.469 38.498 29.603 29.609 36.135 36.314 29.203 29.237 13053 0.94326
0.026939 44.963 45.064 34.813 34.922 42.095 42.293 34.297 34.43 12558 0.93851
0.028556 52.589 52.582 41.017 40.992 49.026 49.08 40.345 40.347 12012 0.9334
0.03027 60.856 60.976 47.861 47.829 56.513 56.582 46.988 46.989 11426 0.92793
0.032087 69.973 70.235 55.312 55.488 64.682 64.762 54.193 54.4 10808 0.92208
0.034013 80.248 80.414 63.892 63.879 73.779 73.646 62.474 62.483 10168 0.91583
0.036055 91.457 91.595 73.188 73.233 83.588 83.273 71.401 71.452 9520.4 0.90915
0.038219 103.53 103.59 83.486 83.297 94.051 93.439 81.198 81.044 8877.8 0.90203
0.040513 116.01 116.19 93.975 94.046 104.67 103.93 91.136 91.219 8252.3 0.89446
