# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, PL_cc, TL_x 
0.042945 129.7 129.8 105.89 105.61 116.16 115.05 102.34 102.09 7654.1 0.8864
0.045523 143.33 143.9 117.37 117.71 127.31 126.32 113.01 113.36 7095.5 0.87785
0.048255 157.88 158.58 130.1 130.37 139 137.77 124.77 125.03 6579.6 0.86879
0.051152 173.03 173.44 143.61 143.23 150.96 149.02 137.07 136.74 6108.9 0.8592
0.054222 188.46 189.06 156.87 156.79 162.73 160.53 148.97 148.94 5681.8 0.84907
0.057477 203.94 204.84 170.55 170.52 174.17 171.74 161.07 161.1 5292.5 0.83838
0.060927 219.43 220.71 184.37 184.53 185.13 182.56 173.04 173.3 4933.6 0.82713
0.064584 236.79 237.06 199.26 198.76 197.23 193.27 185.83 185.44 4588.4 0.8153
0.068461 252.04 253.56 213.26 213.26 207.1 203.58 197.35 197.56 4242.7 0.80289
0.07257 268.53 270.28 227.52 227.87 217.4 213.49 208.93 209.45 3884.1 0.78989
0.076926 283.6 285.79 241.04 242 226.01 221.86 219.43 220.56 3505.2 0.7763
0.081544 299.66 301.67 255.21 255.89 234.71 229.91 230.11 231.08 3109.1 0.76212
0.086439 313.44 314.98 267.85 268.18 241.09 235.4 238.97 239.76 2712.2 0.74736
0.091627 325.15 326.93 278.76 279.22 245.25 239.32 245.88 246.93 2340.3 0.73202
0.097127 334.61 336.33 288.27 288.41 247.18 240.85 251.04 252.07 2020 0.71611
0.10296 340.51 343.51 294.25 295.57 245.89 240.34 252.81 255.05 1768.8 0.69966
0.10914 347.16 348.73 301.04 300.95 244.63 238.07 254.83 256.14 1590.6 0.68267
0.11569 348.54 352.73 303.29 305.46 239.31 234.63 252.64 256.14 1463.9 0.66518
0.12263 354.18 356.21 308.75 309.23 236.57 230.54 252.78 255.18 1359 0.6472
0.12999 357.98 360.11 312.98 313.29 232.32 226.43 251.5 254.12 1246.2 0.62878
0.1378 360.99 363.46 315.99 316.8 227.12 221.69 248.88 252.25 1107 0.60994
0.14607 363.13 366.01 318.83 319.74 221.23 216.21 245.72 249.59 947.85 0.59073
0.15484 364.12 365.9 320.24 320.42 214.28 208.99 241.19 244.85 798.51 0.57118
0.16413 361.08 363.19 318.38 318.81 204.79 200.25 233.87 238.13 684.35 0.55135
0.17398 357.22 359.28 315.74 316.16 194.84 190.88 225.89 230.48 610.79 0.53128
0.18443 351.39 355.18 311.04 313.18 183.98 181.51 216.35 222.47 561.11 0.51103
0.1955 348.72 350.95 309.25 310.14 175 172.19 208.7 214.3 508.05 0.49066
0.20723 345.49 347.93 306.73 307.97 165.76 163.6 200.54 206.64 439.36 0.47021
0.21967 340.54 342.09 303.18 303.54 155.9 153.86 191.58 197.41 371.6 0.44975
0.23286 333.5 335.8 297.73 298.45 145.36 144.17 181.45 187.78 322.02 0.42934
0.24683 327.5 329.21 292.77 293.18 135.52 134.66 171.8 178.12 290.1 0.40905
0.26165 321.56 322.67 287.78 288.04 126.08 125.49 162.31 168.63 259.7 0.38892
0.27736 314.83 316.77 282.41 283.25 116.75 116.9 152.6 159.47 223.79 0.36903
0.294 308.7 309.96 277.44 277.65 107.98 108.31 143.39 150.01 193.06 0.34942
0.31165 301.84 303.41 271.81 272.36 99.384 100.18 134.05 140.9 171.53 0.33016
0.33036 295.01 296.68 265.89 266.81 91.198 92.358 124.89 131.88 151.82 0.3113
0.35019 289.1 290.7 261.32 261.86 83.771 85.145 116.56 123.39 131.39 0.2929
0.37121 283.03 284.08 256.21 256.33 76.696 78.116 108.31 114.88 115.49 0.27498
0.39349 277.85 277.84 251.5 251.15 70.189 71.575 100.65 106.8 102.01 0.25761
0.41711 271.19 272.03 245.92 246.33 63.803 65.509 92.841 99.168 89.06 0.24082
0.44215 265.82 266.55 241.47 241.7 58.099 59.877 85.781 91.895 78.204 0.22464
0.46869 259.44 260.65 236.33 236.7 52.59 54.501 78.792 84.794 68.712 0.20909
0.49682 254.29 255.42 231.78 232.34 47.669 49.607 72.436 78.234 60.214 0.19421
0.52665 249.28 249.93 227.74 227.68 43.158 44.991 66.485 71.887 52.915 0.18001
0.55826 244.01 244.95 222.95 223.45 38.913 40.785 60.763 65.998 46.384 0.1665
0.59177 238.85 239.84 218.62 219.09 35.042 36.863 55.425 60.39 40.684 0.1537
0.62729 234.4 234.53 214.71 214.55 31.562 33.207 50.561 55.062 35.636 0.14159
0.66494 229.13 229.94 210.23 210.58 28.279 29.933 45.84 50.2 31.254 0.13018
0.70486 224.33 224.71 205.97 206.08 25.323 26.842 41.541 45.53 27.381 0.11946
0.74717 219.72 220.16 202.06 202.1 22.65 24.089 37.581 41.288 23.975 0.10941
0.79202 215.22 215.48 198.03 198.05 20.224 21.555 33.92 37.331 20.974 0.10003
0.83956 210.45 210.87 193.82 193.99 18 19.252 30.505 33.664 18.332 0.091296
0.88995 205.88 206.07 189.82 189.78 16.004 17.142 27.385 30.256 16.033 0.083182
0.94337 201.45 201.48 185.85 185.75 14.21 15.245 24.553 27.151 14.011 0.075665
1 196.99 197.01 181.92 181.79 12.592 13.538 21.949 24.315 12.233 0.068721
