# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, dxdx22, dxdx22_EdS, PL_cc, TL_x 
0.05 159.16 158.9 131.28 131.13 157.74 157.15 131.1 130.9 156.39 155.42 6582.7 0.989
0.052151 170.99 170.96 141.62 141.46 169.26 168.76 141.37 141.12 167.62 166.59 6251.6 0.98715
0.054394 183.04 182.87 152.18 151.99 180.96 180.16 151.87 151.54 178.97 177.49 5943.1 0.98518
0.056734 195.63 195.49 163.21 163.06 193.12 192.16 162.82 162.46 190.72 188.88 5651.1 0.98293
0.059175 208.23 208.29 174.36 174.3 205.22 204.23 173.86 173.54 202.36 200.24 5373.7 0.98049
0.06172 221.43 221.25 186 185.73 217.84 216.34 185.35 184.77 214.4 211.53 5110.8 0.9778
0.064375 234.55 234.54 197.61 197.51 230.27 228.64 196.79 196.34 226.17 222.89 4857.1 0.97485
0.067144 248.02 248.33 209.59 209.59 242.94 241.28 208.57 208.16 238.09 234.42 4607.1 0.9716
0.070033 261.6 261.54 221.67 221.38 255.63 253.17 220.41 219.66 249.92 245.06 4357.3 0.96798
0.073045 275.25 275.17 233.9 233.5 268.32 265.24 232.35 231.42 261.7 255.67 4103.5 0.96392
0.076187 288.85 289.14 246.09 246.03 280.79 277.38 244.1 243.51 273.11 266.1 3841.7 0.95933
0.079465 302.16 302.55 258.21 258.13 292.71 288.67 255.7 255.05 283.73 275.43 3570.8 0.95413
0.082883 315.31 315.55 270.12 269.86 304.19 299.22 267.14 266.09 293.63 283.74 3293 0.94826
0.086448 327.6 328.09 281.47 281.33 314.42 308.95 277.86 276.72 301.89 290.93 3012.2 0.94167
0.090167 339.5 339.54 292.48 291.94 324.09 317.25 288.16 286.36 309.46 296.42 2735.3 0.93435
0.094046 350.17 351.07 302.62 302.72 332.33 325.21 297.41 295.99 315.49 301.26 2475.5 0.92635
0.098091 359.66 360.67 311.74 311.92 339.12 330.95 305.45 303.91 319.83 303.69 2239.6 0.91761
0.10231 367.85 368.78 319.85 319.72 344.26 334.83 312.3 310.23 322.28 304.01 2033.1 0.90795
0.10671 375.08 375.76 326.97 326.67 348.09 337.19 318.02 315.48 323.13 302.57 1862.9 0.89734
0.1113 381.03 381.91 333.09 332.88 350.3 338.24 322.55 319.71 322.16 299.56 1727.1 0.88564
0.11609 386.17 386.79 338.42 337.88 351.09 337.65 325.92 322.49 319.33 294.75 1617 0.87295
0.12108 391.05 391.92 343.37 343 351.32 336.7 328.71 325.05 315.78 289.26 1525.4 0.8591
0.12629 395.66 396.83 348.06 347.84 350.58 334.99 330.74 327 310.82 282.8 1442.3 0.84418
0.13172 400.02 401.8 352.38 352.52 349.13 332.68 332.11 328.36 304.92 275.46 1355.8 0.82799
0.13739 404.52 406.12 356.84 356.7 347.42 329.21 333.05 328.82 298.67 266.86 1259 0.81061
0.1433 408.44 410.04 360.75 360.53 344.29 324.74 333.19 328.47 290.48 257.19 1149.2 0.79198
0.14947 411.52 413.81 363.94 364.31 339.77 319.5 331.92 327.55 280.86 246.69 1032.9 0.77211
0.1559 413.46 415.72 366.16 366.41 333.65 312.18 329.05 324.56 269.66 234.43 918.93 0.75094
0.1626 414.01 416.52 367.17 367.47 325.77 303.5 324.61 320.13 256.82 221.14 819.29 0.72864
0.1696 412.81 415.32 366.66 367.16 316.02 292.84 318.72 313.96 242.49 206.49 740.18 0.7051
0.17689 411.12 413.89 365.59 366.16 305.22 281.61 312.07 306.65 227.23 191.61 680.53 0.6804
0.1845 408.68 412.22 363.83 364.96 293.32 269.88 303.37 298.67 211.23 176.69 635.94 0.65469
0.19244 406.71 409.63 362.25 362.98 281.16 257.25 294.15 289.55 195.14 161.56 596.9 0.62801
0.20072 404.73 407.82 360.69 361.62 268.55 244.89 284.95 280.42 179.01 147.05 553.81 0.60047
0.20935 402.87 405.72 359.18 359.9 255.61 232.14 274.62 270.51 163.02 132.83 503.32 0.57218
0.21835 400.33 403.89 357.04 358.37 242.15 219.44 263.22 260.29 147.34 119.23 449.66 0.54332
0.22775 396.81 399.63 354.11 354.9 227.76 205.43 250.76 248.29 131.62 105.6 400.91 0.51406
