# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, dxdx22, dxdx22_EdS, PL_cc, TL_x 
0.03 59.43 59.574 46.734 59.215 55.248 55.332 45.894 58.193 51.403 51.392 11518 0.9288
0.033265 75.969 76.434 60.453 75.909 70.024 70.186 59.15 74.318 64.582 64.449 10414 0.91826
0.036885 95.847 96.15 76.903 95.4 87.412 87.153 74.937 92.981 79.756 78.997 9267.7 0.90642
0.040899 117.53 118.41 95.364 117.37 105.93 105.76 92.422 113.78 95.488 94.466 8154.2 0.89318
0.04535 142.21 142.95 116.87 141.53 126.47 125.58 112.53 136.33 112.46 110.31 7131.4 0.87843
0.050285 168.33 168.97 139.15 167.07 147.23 145.66 133.03 159.72 128.73 125.57 6240.9 0.86207
0.055757 195.24 196.54 162.65 194.06 167.7 165.88 154.09 183.88 143.95 140.01 5490.9 0.84402
0.061825 223.55 225 187.88 221.83 188.09 185.45 176.06 208 158.09 152.85 4846.2 0.82421
0.068553 252.55 254.21 213.77 250.22 207.51 204.02 197.82 231.76 170.28 163.75 4234.6 0.80259
0.076013 281.49 283.18 239.01 278.26 225.06 220.63 217.98 254.06 179.67 171.9 3584.5 0.77913
0.084285 306.17 309.82 261.95 303.88 237.57 233.55 234.76 272.88 183.98 176.05 2882.1 0.75382
0.093458 327.78 330.3 282.13 323.33 245.67 240.02 247.71 284.83 183.74 174.42 2222.3 0.72668
0.10363 341.19 344.13 294.87 336.18 245.7 240.13 252.98 289.67 176.58 167.56 1747.3 0.69779
0.11491 349.75 352.59 303.62 343.72 240.74 235.26 253.56 288.74 165.42 156.98 1477 0.66724
0.12741 357.02 358.76 311.33 348.97 233.99 227.87 251.94 284.78 153.06 144.74 1287.6 0.63517
0.14128 362.41 364.81 317.95 354.06 225.05 219.53 248.13 279.58 139.45 132.11 1039.8 0.60177
0.15665 363.23 365.7 319.18 354.11 212.18 207.44 239.34 269.4 123.7 117.67 770.95 0.56724
0.1737 356.58 358.87 314.94 346.71 194.76 190.87 225.55 252.93 106.19 101.51 612.29 0.53185
0.1926 349.35 352.2 310.03 339.48 177.31 174.65 210.82 236.28 89.841 86.604 522.85 0.49588
0.21356 342.38 344.8 305 331.6 160.48 158.49 195.83 219 75.103 72.849 402.86 0.45965
0.2368 331.5 333.67 296.32 320.19 142.41 141.3 178.63 199.48 61.096 59.84 311.55 0.42348
0.26257 320.46 322.58 286.81 308.89 125.22 125.07 161.35 180.43 48.885 48.492 257.69 0.38772
0.29115 309.36 311.23 278.23 297.4 109.32 109.77 144.84 161.82 38.589 38.713 197.31 0.35269
0.32283 298.56 298.98 269.06 285.13 94.654 95.288 128.86 143.54 29.983 30.37 159.84 0.31871
0.35796 286.02 287.88 258.46 274.05 80.798 82.36 113.06 126.75 22.81 23.562 124.96 0.28609
0.39692 275.39 277.25 249.47 263.48 68.862 70.721 98.938 111.15 17.209 18.039 99.997 0.25508
0.44011 266.45 266.69 242.05 253.05 58.587 60.245 86.392 96.656 12.875 13.609 78.958 0.2259
0.48801 256.63 256.92 233.69 243.42 49.274 51.053 74.555 83.559 9.4566 10.145 62.679 0.19871
0.54111 246.89 247.49 225.55 234.19 41.153 42.976 63.789 71.704 6.8563 7.4627 49.775 0.17365
0.6 237.9 238.54 217.99 225.46 34.211 35.964 54.285 61.115 4.9175 5.422 39.446 0.15076
