# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, dxdx22, dxdx22_EdS, PL_cc, TL_x 
0.05 187.55 187.92 155.21 155.46 185.54 185.71 154.94 155.02 183.64 183.52 7315.7 0.98821
0.052151 202.29 203.02 168.26 168.52 199.88 200.25 167.86 167.93 197.62 197.52 7053.1 0.98637
0.054394 218.32 219 181.99 182.38 215.38 215.56 181.53 181.61 212.61 212.17 6815.7 0.98429
0.056734 234.91 235.67 196.39 196.85 231.36 231.44 195.84 195.87 228.02 227.29 6594.3 0.98204
0.059175 252 253.35 211.09 212.17 247.8 248.16 210.39 210.94 243.85 243.08 6384.1 0.97953
0.06172 271.47 272 228.21 228.44 266.35 265.68 227.32 226.91 261.54 259.52 6180.7 0.97679
0.064375 291.19 291.64 245.63 245.51 285.09 284 244.46 243.64 279.37 276.55 5975.3 0.97378
0.067144 312.61 312.46 263.65 263.64 305.16 303.23 262.18 261.35 298.21 294.27 5760.4 0.97045
0.070033 333.07 334.26 282.29 282.65 324.44 323.14 280.49 279.86 316.34 312.38 5529.4 0.96672
0.073045 355.81 356.77 302.18 302.43 345.48 343.38 299.82 299 335.86 330.49 5276.1 0.96246
0.076187 380.49 380.27 324.21 323.13 368.23 364.18 321.14 318.91 356.86 348.76 4999.5 0.95768
0.079465 402.62 404.59 344.04 344.58 388 385.29 340.1 339.38 374.5 366.91 4700.3 0.95231
0.082883 427.95 429.16 366.39 366.41 410.64 406.09 361.7 360 394.66 384.26 4383.5 0.94625
0.086448 453.35 453.59 389.03 388.42 432.55 426.13 383.24 380.53 413.4 400.34 4059.4 0.93947
0.090167 477.07 477.86 410.41 410.41 452.29 445.39 403.46 400.79 429.65 415.12 3738.6 0.93205
0.094046 500.38 501.56 431.42 432.08 471.41 463.4 422.99 420.44 445.06 428.14 3439 0.92391
0.098091 524.4 524.75 454.66 453.38 490.66 480.16 444.14 439.4 460.15 439.36 3169.8 0.91502
0.10231 542.54 547.42 472 474.27 503.29 495.52 459.13 457.5 468.17 448.54 2937.4 0.90519
0.10671 567.21 569.02 493.35 494.5 521.38 508.92 478.14 474.46 480.74 455.16 2749.8 0.89436
0.1113 591.38 590.39 515.69 514.47 538.61 521.04 497.45 490.6 492.14 459.83 2603.5 0.88253
0.11609 611.08 611.74 534.84 534.47 550.02 532.02 512.84 506.16 496.96 462.69 2486.1 0.86969
0.12108 632.85 633.35 554.41 554.51 562.47 542 528.34 521.07 502.04 463.82 2385.6 0.85576
0.12629 652.63 655.64 574.1 575.28 572.11 551.17 542.82 535.81 503.85 463.35 2285.4 0.84066
0.13172 675.95 678.06 596.02 596.15 583.43 558.98 558.84 549.73 506.19 460.82 2170.2 0.82438
0.13739 699.28 701.32 616.74 617.65 593.6 565.92 572.99 563.2 506.81 456.65 2032.2 0.80693
0.1433 721.27 723.78 638.32 638.78 601.19 570.53 586.09 575.17 504.15 449.72 1871 0.78826
0.14947 740.07 745.17 657.21 658.92 604.45 572.52 595.76 584.96 496.99 439.88 1700.8 0.76831
0.1559 762.98 764.37 677.65 677.47 608.77 571.11 605.25 591.98 489.35 426.72 1537.5 0.74716
0.1626 779.53 781.29 694.59 694.12 607.06 566.35 610.46 595.97 476.52 410.54 1400 0.72489
0.1696 795.3 797.22 710.44 709.81 602.57 559.16 614.06 597.59 460.63 392.18 1295.2 0.70138
0.17689 808.09 811.81 723.06 724.4 594.12 549.41 613.81 596.73 440.98 371.83 1218 0.67678
0.1845 823 826.29 737.88 738.69 585.45 538.05 612.38 594.02 420.89 350.35 1157.7 0.65116
0.19244 834.13 840.64 750.07 752.99 572.11 525.06 606.23 589.63 396.8 327.95 1096.6 0.6246
0.20072 852.22 854.95 766.98 767.16 561.47 510.6 603.39 583.43 374.52 304.95 1021.8 0.59723
0.20935 866.69 868.9 780.98 780.94 546.77 494.49 595.73 575.08 349.51 281.41 933.17 0.5691
0.21835 876.68 880.2 791.27 792.7 527.53 475.71 582.4 563.56 321.95 257.1 843.4 0.54045
0.22775 884.7 890.01 800.9 803.06 506.67 455.09 566.86 549.36 294.53 232.7 766.09 0.51133
0.23754 890.59 897.16 807.08 811.17 482.34 432.49 548.17 532.24 265.45 208.49 706.85 0.48206
0.24776 899.99 904.68 817.96 819.35 460.1 409.45 530.17 513.61 239.19 185.32 663.13 0.4526
0.25842 909.85 911.59 828.46 827.06 436.82 385.93 510.19 493.59 213.4 163.39 620.96 0.42336
0.26954 919.61 918.43 836.87 834.63 412.17 362.11 488.29 472.24 188.18 142.77 572.56 0.39427
0.28113 921.19 923.44 838.93 840.7 383.79 337.78 460.91 449.29 162.98 123.55 520.03 0.36578
0.29322 921.75 927.27 842.09 845.64 355.3 313.19 433.11 424.81 139.63 105.78 473.15 0.33776
0.30584 926.64 929.07 848.49 848.84 329.11 288.7 406.5 399.34 119.17 89.71 435.96 0.31074
0.31899 930.67 931.04 852.97 852.13 302.71 264.87 378.97 373.57 100.43 75.353 404.92 0.28449
0.33272 933.7 931.77 856.32 854.19 276.7 241.73 350.99 347.53 83.636 62.714 373.36 0.25944
0.34703 930.18 932.25 855.63 856.15 250.02 219.47 321.13 321.51 68.514 51.667 340.44 0.23542
0.36196 926.69 931.42 854.05 856.88 224.71 198.33 292.2 295.96 55.527 42.232 310.28 0.21294
0.37753 924.59 929.49 853.1 856.65 201.02 178.09 264.74 270.61 44.512 34.122 285.77 0.1916
0.39377 925.65 926.38 855.82 855.17 179.82 159.15 239.17 246.1 35.544 27.341 263.07 0.1718
0.41071 921.11 923.57 852.47 854.16 158.98 141.57 213.58 222.67 27.886 21.699 240.41 0.15328
0.42837 915.42 919.84 849.72 851.98 139.74 125.45 189.69 200.51 21.651 17.11 219.54 0.13639
0.4468 909.5 915.06 845.82 849.02 122.14 110.51 167.71 179.4 16.627 13.345 201.31 0.12076
0.46602 904.49 909.57 841.74 845.39 106.37 96.914 147.79 159.71 12.662 10.326 184.38 0.10655
0.48607 901.57 904.31 840.26 841.8 92.548 84.799 129.92 141.71 9.6033 7.9518 168.29 0.093772
0.50697 894.66 897.94 835.43 837.29 79.899 73.764 113.19 124.91 7.202 6.0596 153.86 0.082148
0.52878 886.68 891.18 830.51 832.33 68.629 63.963 98.297 109.67 5.3535 4.5908 140.67 0.071773
0.55153 881.5 883.55 825.7 826.53 58.925 55.245 85.381 95.835 3.9646 3.4543 128.3 0.062526
0.57525 872.37 875.71 818.79 820.51 50.199 47.574 73.783 83.429 2.9038 2.5845 117.17 0.054326
0.6 864 867.05 812.14 813.81 42.723 40.798 63.481 72.273 2.1212 1.9197 106.94 0.047054
