# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, dxdx22, dxdx22_EdS, PL_cc, TL_x 
0.05 194.05 195.05 160.93 161.46 194.14 195.05 160.96 161.46 193.97 195.05 7489.4 1
0.052151 210.88 210.79 175.19 175.02 210.78 210.79 175.25 175.02 210.78 210.79 7242.2 1
0.054394 226.43 227.49 189.08 189.5 226.44 227.49 189.12 189.5 226.29 227.49 7019.5 1
0.056734 244.09 245.08 204.35 204.72 244.5 245.08 204.34 204.72 243.91 245.08 6811.3 1
0.059175 262.24 263.9 220.06 221.06 262.18 263.9 220.11 221.06 262.05 263.9 6612.1 1
0.06172 283.68 283.23 238.3 237.81 283.43 283.23 238.37 237.81 283.45 283.23 6415.5 1
0.064375 303.74 304.46 255.96 256.25 303.68 304.46 256.01 256.25 303.46 304.46 6212.3 1
0.067144 325.76 326.17 274.84 275.31 324.62 326.17 274.95 275.31 325.47 326.17 5994.7 1
0.070033 349.05 349.18 295.11 295.41 347.6 349.18 295.3 295.41 348.7 349.18 5754.9 1
0.073045 371.31 373.46 314.75 316.45 371.22 373.46 314.79 316.45 370.79 373.46 5487 1
0.076187 398.14 398.51 338.52 338.65 397.92 398.1 338.57 338.6 397.5 397.7 5191.1 0.99898
0.079465 424.06 423.47 360.96 360.63 423.71 422.97 361.01 360.57 423.28 422.48 4869.2 0.99883
0.082883 446.5 449.49 382.34 383.69 446.15 448.88 382.37 383.62 445.58 448.28 4527.5 0.99864
0.086448 474.39 474.64 405.67 406.46 473.89 473.89 405.7 406.37 473.25 473.15 4178 0.99843
0.090167 498.02 500.18 428.33 429.46 497.48 499.27 428.34 429.34 496.67 498.37 3832.6 0.99819
0.094046 523.12 523.86 450.84 450.99 522.38 522.77 450.83 450.85 521.47 521.68 3510 0.99791
0.098091 547.39 546.67 473.2 472.16 546.5 545.36 473.16 471.98 545.41 544.04 3219.2 0.99759
0.10231 567.94 568.22 492.39 492.48 566.87 566.64 492.32 492.26 565.58 565.06 2966 0.99722
0.10671 589.28 588.74 512.78 511.57 587.99 586.86 512.69 511.3 586.53 584.98 2757.4 0.9968
0.1113 606.21 608.21 528.22 529.83 604.64 605.97 528.09 529.5 602.93 603.74 2589 0.99632
0.11609 622.72 626.14 544.58 547 620.91 623.48 544.39 546.61 618.93 620.84 2446.7 0.99576
0.12108 641.92 644.17 563.29 564 639.8 641.03 563.03 563.52 637.49 637.91 2317.6 0.99513
0.12629 658.84 661.37 579.69 580.5 656.35 657.67 579.35 579.92 653.64 653.98 2185 0.9944
0.13172 676.43 677.86 596.02 596.18 673.48 673.5 595.6 595.48 670.38 669.17 2035.1 0.99357
0.13739 692.35 692.52 610.37 610.8 688.79 687.41 609.84 609.95 685.2 682.35 1863.1 0.99263
