# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, dxdx22, dxdx22_EdS, PL_cc, TL_x 
0.05 93.677 94.291 78.78 78.903 74.381 69.585 70.393 68.992 59.477 51.353 3895.4 0.73798
0.054473 102.24 103.2 86.45 86.633 76.952 71.173 74.474 72.85 58.353 49.085 3517.7 0.68965
0.059347 111.23 112.17 94.25 94.38 78.267 71.439 77.645 75.618 55.565 45.496 3203.1 0.63685
0.064656 120.67 121.75 102.37 102.68 78.408 70.65 79.647 77.519 51.449 40.996 2912.3 0.58028
0.070441 130.34 132.16 110.65 111.53 77.058 68.866 80.187 78.345 46.043 35.884 2603.5 0.52108
0.076742 140.13 142.27 119.27 120.21 74.222 65.527 79.027 77.456 39.74 30.18 2257.6 0.46058
0.083608 150.44 151.83 128.09 128.42 70.003 60.781 76.253 74.695 32.956 24.332 1889.6 0.40033
0.091088 157.58 159.83 134.37 135.47 63.17 54.636 70.298 69.908 25.641 18.677 1545.2 0.34184
0.099237 163.51 165.92 139.62 141.02 55.182 47.565 62.684 63.366 18.881 13.635 1276 0.28667
0.10812 168.25 170.57 144.45 145.47 46.689 40.248 54.223 55.812 13.146 9.4967 1106.9 0.23596
0.11779 173.64 175.95 149.52 150.42 38.692 33.552 45.826 48.297 8.745 6.3979 1007.5 0.19069
0.12833 180.68 182.36 155.63 156.34 31.598 27.604 38.171 41.166 5.5966 4.1783 915.63 0.15137
0.13981 187.13 189.55 161.39 162.76 25.213 22.381 30.967 34.443 3.4308 2.6427 780.85 0.11807
0.15231 193.24 194.4 167.06 167.42 19.714 17.633 24.555 27.948 2.0251 1.5995 628.47 0.090706
0.16594 195.88 196.85 169.8 170.21 14.863 13.509 18.955 22.004 1.1329 0.92706 522.06 0.068625
0.18079 198.66 200.8 172.69 174.2 11.057 10.301 14.584 17.17 0.61683 0.5285 469.7 0.051303
0.19696 204.23 204.62 178.15 178.1 8.2743 7.7583 11.272 13.189 0.3353 0.29416 414.7 0.037915
0.21458 207.17 207.66 181.04 181.32 6.0638 5.7654 8.5962 9.965 0.17727 0.16007 336.74 0.027764
0.23378 207.83 208.69 182.28 182.88 4.373 4.2133 6.4877 7.3863 0.091859 0.085063 282.48 0.020189
0.25469 208.65 210.28 184.08 184.87 3.1462 3.0649 4.8984 5.4353 0.047349 0.044671 249.17 0.014575
0.27748 210.23 211.52 185.89 186.57 2.2662 2.2196 3.7065 3.9742 0.024386 0.023292 205.89 0.010494
0.30231 210.36 210.93 186.6 186.71 1.6188 1.5857 2.7735 2.8628 0.012439 0.011921 173.08 0.0075178
0.32935 210.53 210.74 187.26 187.11 1.1553 1.1328 2.0662 2.0585 0.0063321 0.0060896 147.53 0.0053756
0.35882 209.01 209.48 186.55 186.57 0.81714 0.8035 1.5168 1.4683 0.0031915 0.0030819 122.19 0.0038356
0.39092 207.8 208.01 185.92 185.77 0.57831 0.5681 1.1091 1.043 0.0016083 0.0015515 103.22 0.0027311
0.42589 205.58 205.52 184.3 184.09 0.40705 0.39975 0.80253 0.7371 0.00080551 0.00077754 85.633 0.0019451
0.46399 201.89 202.68 181.51 182.11 0.28425 0.28012 0.57253 0.51861 0.00040004 0.00038716 71.642 0.0013821
0.5055 199.05 199.26 179.52 179.49 0.19919 0.19589 0.40836 0.36384 0.00019928 0.00019258 59.531 0.0009831
0.55073 195.99 195.99 177.13 176.96 0.13936 0.13686 0.29013 0.25494 9.9069e-05 9.5575e-05 49.357 0.00069832
0.6 191.95 191.79 173.94 173.62 0.096897 0.095121 0.20409 0.17771 4.8962e-05 4.7177e-05 40.929 0.00049597
