# k, dcTc22, dcTc22_EdS, dcTx22, dcTx22_EdS, PL_cc, TL_x 
0.05 35.651 35.675 34.906 34.738 2923.6 0.9211368720642467
0.054132 39.988 39.987 39.028 38.798 2701.7 0.9124261508822792
0.058605 44.509 44.613 43.27 43.115 2517.1 0.9029146983006477
0.063448 49.679 49.633 48.106 47.751 2346.7 0.8925551424614794
0.068691 54.774 55.023 52.776 52.674 2165.7 0.881301576856558
0.074368 60.63 60.771 58.071 57.851 1953.3 0.8691104059559449
0.080513 66.54 66.592 63.326 62.985 1704.7 0.8559412824731757
0.087166 72.331 72.235 68.345 67.814 1441.3 0.841758128551931
0.09437 76.481 77.21 71.639 71.85 1201.4 0.826530228817
0.10217 81.205 81.571 75.336 75.149 1016.5 0.8102333784106973
0.11061 85.09 85.513 78.085 77.869 898.71 0.792851063955489
0.11975 88.798 89.39 80.499 80.37 826.99 0.7743756500188642
0.12965 93.328 93.485 83.462 82.887 757.69 0.7548095383392022
0.14036 97.265 97.876 85.671 85.449 656.46 0.7341662620906863
0.15196 100.41 101.09 86.983 86.712 536.28 0.7124714731632105
0.16452 102.85 103.33 87.358 86.866 441.99 0.6897637771943487
0.17811 104.36 105.16 86.736 86.44 390.4 0.6660953693249665
0.19283 106.64 106.99 86.537 85.854 353.72 0.6415324237694293
0.20877 108.53 109.02 85.744 85.18 298.59 0.6161551926769473
0.22602 109.12 109.82 83.775 83.268 243.73 0.5900577747262254
0.2447 109.52 109.97 81.388 80.701 211.68 0.563347521645658
0.26492 109.32 110.31 78.478 78.132 184.79 0.5361440614382196
0.28681 109.36 109.95 75.569 74.908 152.35 0.5085779303747651
0.31051 108.78 109.47 72.06 71.477 130.04 0.48078882143963897
0.33617 108.01 108.68 68.425 67.782 111 0.452923474266373
0.36395 107.07 107.47 64.602 63.769 92.572 0.42513324984988543
0.39402 105.73 106.11 60.565 59.687 78.851 0.3975714514153097
0.42658 104.23 104.47 56.394 55.482 65.94 0.37039046955703725
0.46184 102.46 102.6 52.162 51.237 55.7 0.34373884385405784
0.5 100.2 100.74 47.767 47.092 46.623 0.3177583433687081
