# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.28113 -324.41 -324.33 -339.46 -339.72 -132.57 -148.02 -194.1 -228.82 -53.495 -67.552 306.83 0.45637 -163.99
0.29322 -322.43 -322.21 -335.9 -335.99 -127.21 -142.29 -187.39 -221.03 -49.533 -62.839 278.98 0.44162 -156.97
0.30584 -325.33 -324.78 -337.44 -337.23 -123.82 -138.65 -183.49 -216.44 -46.477 -59.192 257.49 0.42691 -152.32
0.31899 -329.15 -328.38 -339.91 -339.55 -120.7 -135.39 -179.96 -212.41 -43.625 -55.818 238.28 0.41228 -148.13
0.33272 -327.58 -327.48 -337.07 -337.26 -115.6 -130.24 -173.51 -205.4 -40.181 -51.795 217.57 0.3977 -141.93
0.34703 -324.14 -323.67 -332.11 -332.06 -109.96 -124.06 -166.06 -196.7 -36.716 -47.554 196.93 0.3833 -134.69
0.36196 -321.95 -321.69 -328.88 -328.81 -104.93 -118.7 -159.48 -189.21 -33.634 -43.802 179.23 0.369 -128.4
0.37753 -323.1 -322.84 -328.86 -328.79 -100.99 -114.56 -154.52 -183.59 -31.018 -40.656 164.76 0.35487 -123.48
0.39377 -322.62 -322.35 -327.3 -327.18 -96.625 -109.9 -148.8 -177.09 -28.414 -37.468 150.69 0.34093 -118.05
0.41071 -319.71 -319.47 -323.28 -323.19 -91.647 -104.52 -142.08 -169.36 -25.772 -34.194 136.8 0.32716 -111.9
0.42837 -317.65 -317.3 -320.13 -319.98 -87.05 -99.507 -135.84 -162.15 -23.381 -31.206 124.55 0.3136 -106.2
0.4468 -316.79 -316.53 -318.33 -318.26 -82.91 -95.061 -130.25 -155.79 -21.246 -28.549 113.85 0.30032 -101.14
0.46602 -315.02 -314.58 -315.57 -315.36 -78.642 -90.37 -124.37 -148.93 -19.202 -25.96 103.69 0.28727 -95.857
0.48607 -312.23 -311.86 -311.96 -311.77 -74.26 -85.592 -118.24 -141.87 -17.257 -23.491 94.201 0.27445 -90.531
0.50697 -310.35 -310.01 -309.36 -309.1 -70.238 -81.203 -112.59 -135.35 -15.514 -21.27 85.857 0.26194 -85.652
0.52878 -307.79 -307.63 -306.02 -305.94 -66.223 -76.835 -106.84 -128.78 -13.89 -19.19 78.141 0.24976 -80.83
0.55153 -304.86 -304.78 -302.42 -302.37 -62.294 -72.511 -101.16 -122.21 -12.394 -17.251 70.958 0.23791 -76.086
0.57525 -302.67 -302.54 -299.47 -299.44 -58.662 -68.487 -95.888 -116.07 -11.057 -15.503 64.579 0.22637 -71.682
0.6 -299.86 -299.94 -296.06 -296.21 -55.074 -64.53 -90.602 -109.96 -9.8245 -13.883 58.702 0.21514 -67.382
