# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, dxdx22, dxdx22_EdS, PL_cc, TL_x 
0.05 136.89 136.59 114.46 114.08 124.64 123.19 110.8 112.59 113.79 111.11 5505.6 0.90189
0.052151 145.73 145.57 122.38 121.84 131.96 130.52 118.13 120.06 119.81 117.02 5282.6 0.89659
0.054394 154.73 154.62 130.41 129.82 139.3 137.77 125.52 127.7 125.75 122.76 5084.8 0.89104
0.056734 164.49 164.25 138.78 138.22 147.12 145.4 133.16 135.71 131.95 128.71 4902.1 0.88523
0.059175 174.51 174.22 147.69 146.87 155.09 153.17 141.2 143.9 138.19 134.66 4729.3 0.87915
0.06172 184.78 184.68 156.74 156.11 163.03 161.19 149.27 152.61 144.23 140.68 4561 0.87277
0.064375 195.74 195.87 166.31 165.84 171.45 169.65 157.82 161.7 150.58 146.94 4389.4 0.86612
0.067144 206.77 207.29 176.19 175.87 179.72 178.1 166.49 171.03 156.63 153.02 4208.1 0.85919
0.070033 219.29 219.48 187.12 186.48 189.1 186.99 176.04 180.8 163.5 159.3 4011.5 0.85195
0.073045 230.84 231.52 197.49 196.99 197.51 195.49 184.74 190.36 169.43 165.07 3795.9 0.84438
0.076187 244.48 244.03 209.17 208.01 207.22 204.12 194.85 200.28 176.08 170.74 3561.9 0.83647
0.079465 256.23 256.3 219.73 218.95 215.17 212.27 203.5 209.99 181.15 175.8 3311.9 0.82821
0.082883 267.83 268.46 230.56 229.77 222.7 220.03 212.26 219.42 185.61 180.35 3052.8 0.81963
0.086448 280.62 280.09 241.63 240.33 230.74 227.07 221 228.44 190.19 184.09 2793.6 0.8107
0.090167 290.92 291.29 251.22 250.39 236.54 233.47 228.02 236.83 192.78 187.13 2543.7 0.8015
0.094046 301.79 301.91 261.31 260.11 242.53 239.13 235.54 244.75 195.38 189.4 2318.1 0.79204
0.098091 311.1 311.39 269.92 269.01 246.8 243.6 240.96 251.71 196.26 190.57 2121.9 0.7823
0.10231 320.61 320.71 278.84 277.72 251.1 247.68 247.65 258.33 197.15 191.28 1958.3 0.77229
0.10671 328.65 329.24 286.69 285.67 253.82 250.88 252.62 264.05 196.51 191.16 1831.1 0.76198
0.1113 336.86 337.12 294.14 293.22 256.29 253.3 257.03 269.2 195.48 190.32 1735.2 0.75136
0.11609 345.93 345.94 303 301.38 259.27 256.13 262.46 274.69 194.83 189.64 1658.6 0.7404
0.12108 354.24 354.56 310.6 309.5 260.79 258.51 265.49 279.89 192.48 188.48 1590.6 0.72911
0.12629 363.47 364.07 318.9 318.22 263 261.21 269.3 285.39 190.82 187.42 1517.2 0.71749
0.13172 373.02 372.96 327.99 326.56 265.13 263.17 273.29 290.3 188.93 185.7 1428.8 0.70564
0.13739 381.66 382 336.09 334.82 266.02 264.92 276.49 294.88 185.87 183.73 1322.1 0.69351
0.1433 389.95 390.66 343.84 342.73 266.52 266.07 279.04 298.86 182.6 181.22 1200.7 0.68109
0.14947 396.7 397.57 350.63 349.48 265.62 265.73 280.51 301.54 178.25 177.62 1077.7 0.6684
0.1559 402.3 403.25 355.72 355.03 263.46 264.31 280.34 302.92 172.95 173.25 965.59 0.65545
0.1626 407.14 407.58 360.95 359.42 260.73 261.79 279.62 303.07 167.38 168.14 877.18 0.6423
0.1696 410.52 411.05 364.34 363.27 256.57 258.52 277.23 302.53 160.75 162.59 813.92 0.62892
0.17689 413.93 415.01 368.27 367.28 252.1 255.35 275.27 301.84 153.93 157.11 768.58 0.61528
0.1845 417.76 418.97 372.2 371.51 248.21 252 273.14 301.09 147.85 151.57 730.89 0.60147
0.19244 422.12 423.12 376.76 375.69 244.09 248.57 270.71 300.04 141.5 146.03 687.37 0.58747
0.20072 426.01 427.06 380.33 379.7 239.5 244.84 267.7 298.59 134.98 140.37 632.25 0.57331
0.20935 429.29 430.24 383.49 382.99 234.25 240.5 263.93 296.31 128.13 134.44 569.32 0.55899
0.21835 430.45 431.53 385.33 384.72 227.93 234.99 259.11 292.6 121 127.96 510.41 0.54454
0.22775 431.71 432.36 386.96 385.96 221.55 229.16 253.91 288.33 113.98 121.45 463.32 0.53001
0.23754 431.34 432.62 387.43 386.81 214.25 222.95 247.66 283.57 106.67 114.9 429.24 0.51536
0.24776 432.15 432.65 387.97 387.43 207.35 216.62 241.59 278.48 99.746 108.45 402.9 0.50067
0.25842 431.55 433.11 388.25 388.35 199.97 210.46 234.94 273.43 92.89 102.27 374.45 0.48592
0.26954 432.44 433.67 389.57 389.22 193.2 204.32 228.8 268.16 86.526 96.263 340.96 0.47114
