# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.05 -111.44 -111.94 -157.19 -159.06 -62.518 -74.693 -94.389 -137.11 -33.562 -49.841 4820.8 0.66728 -108.39
0.054473 -124.35 -124.76 -171.59 -173.6 -66.779 -79.933 -101.28 -146.17 -34.305 -51.214 4455 0.6407 -114.2
0.059347 -139.22 -139.87 -188.7 -190.72 -71.489 -85.783 -108.91 -156.45 -35.132 -52.61 4146.8 0.61329 -120.75
0.064656 -156.23 -156.45 -207.41 -209.11 -76.312 -91.501 -116.69 -166.54 -35.66 -53.513 3849.9 0.58484 -126.87
0.070441 -171.88 -172.16 -223.72 -225.54 -79.612 -95.679 -122.43 -173.84 -35.264 -53.176 3513 0.55577 -130.64
0.076742 -183.22 -183.52 -234.02 -235.82 -80.121 -96.585 -124.14 -175.34 -33.475 -50.831 3108.7 0.52629 -129.89
0.083608 -188.12 -188.62 -236.26 -237.85 -77.522 -93.626 -121 -169.95 -30.526 -46.474 2652.9 0.49637 -124.03
0.091088 -189.12 -189.28 -233.03 -234.28 -73.135 -88.265 -115 -160.25 -27.022 -41.16 2208.1 0.46633 -115.17
0.099237 -190.65 -190.86 -230.73 -232.09 -68.743 -83.267 -108.77 -151.33 -23.65 -36.327 1848.5 0.43627 -107.05
0.10812 -200.88 -200.96 -239.39 -240.24 -67.161 -81.692 -106.94 -148.72 -21.373 -33.209 1616.3 0.40652 -103.53
0.11779 -221.11 -221.09 -259.08 -259.99 -68.457 -83.386 -110.1 -152.12 -20.158 -31.449 1476.8 0.37715 -104.17
0.12833 -243.14 -242.69 -280.71 -280.96 -69.471 -84.543 -112.96 -154.66 -18.873 -29.451 1347.3 0.34835 -104.18
0.13981 -249.88 -250.49 -284.54 -285.71 -65.546 -80.238 -107.64 -147.25 -16.335 -25.702 1156.1 0.32032 -97.566
0.15231 -244.04 -243.8 -274.08 -274.18 -58.455 -71.505 -97.017 -131.67 -13.285 -20.972 936.04 0.29329 -85.839
0.16594 -243.56 -243.2 -269.77 -269.89 -52.997 -65.019 -88.742 -120.18 -10.92 -17.383 777.09 0.26735 -77.096
0.18079 -261.47 -261.5 -286.13 -286.56 -51.446 -63.439 -87.04 -117.73 -9.5657 -15.39 695.42 0.24259 -74.323
0.19696 -276.69 -276.84 -299.48 -299.81 -48.917 -60.66 -83.624 -113.05 -8.1463 -13.292 613.36 0.21912 -70.274
0.21458 -270.1 -270.35 -289.1 -289.57 -42.752 -53.276 -73.92 -99.713 -6.3555 -10.499 499.3 0.19707 -61.057
0.23378 -271.16 -270.71 -286.9 -286.96 -38.168 -47.778 -66.669 -89.791 -5.0228 -8.4326 416.85 0.17649 -54.192
0.25469 -284.52 -285.05 -298.57 -299.24 -35.607 -44.869 -62.914 -84.668 -4.1568 -7.0628 366.02 0.15741 -50.398
0.27748 -282.66 -282.35 -293.79 -293.77 -31.27 -39.469 -55.953 -74.781 -3.2165 -5.5172 302.76 0.13979 -43.926
0.30231 -282.43 -282.8 -291.35 -291.8 -27.534 -34.957 -49.883 -66.493 -2.4898 -4.3209 253.31 0.12361 -38.568
0.32935 -287.99 -287.99 -294.74 -294.89 -24.632 -31.37 -45.275 -59.883 -1.9477 -3.4169 215.57 0.10893 -34.328
0.35882 -285.01 -284.8 -289.66 -289.54 -21.337 -27.237 -39.756 -52.165 -1.4733 -2.6049 178.19 0.095638 -29.577
0.39092 -286.52 -287.02 -289.44 -289.9 -18.762 -24.018 -35.43 -46.142 -1.1328 -2.0099 150.18 0.083682 -25.895
0.42589 -283.97 -284.07 -285.11 -285.19 -16.184 -20.716 -30.884 -39.907 -0.84972 -1.5107 124.4 0.072926 -22.183
0.46399 -283.08 -283.41 -282.83 -282.97 -14.041 -17.964 -26.999 -34.693 -0.64223 -1.1386 103.93 0.063384 -19.116
0.5055 -280.65 -280.78 -278.72 -278.92 -12.065 -15.422 -23.396 -29.844 -0.47838 -0.84705 86.235 0.054925 -16.314
0.55073 -146.32 -277.62 -272.41 -274.51 -18.055 -13.187 -20.171 -25.565 -0.25802 -0.62637 71.431 0.0475 -13.874
0.6 -274.58 -274.34 -270.45 -270.13 -8.7829 -11.235 -17.235 -21.815 -0.25806 -0.46009 59.179 0.040952 -11.761
