# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.05 -167.73 -168.8 -243.8 -247.79 -159.5 -166.95 -221.12 -247.35 -150.42 -165.11 6582.7 0.989 -247.15
0.052151 -174.81 -175.84 -251.34 -255.36 -165.85 -173.58 -227.74 -254.74 -156.06 -171.35 6251.6 0.98715 -254.86
0.054394 -182.27 -183.38 -259.26 -263.45 -172.56 -180.67 -234.71 -262.66 -162.02 -177.99 5943.1 0.98518 -263.05
0.056734 -190.13 -191.29 -267.53 -271.88 -179.52 -188.02 -241.96 -270.88 -168.1 -184.81 5651.1 0.98293 -271.48
0.059175 -198.39 -199.58 -276.22 -280.63 -186.78 -195.69 -249.56 -279.4 -174.4 -191.87 5373.7 0.98049 -280.14
0.06172 -207.07 -208.27 -285.21 -289.75 -194.32 -203.65 -257.37 -288.26 -180.86 -199.13 5110.8 0.9778 -289.08
0.064375 -215.94 -217.16 -294.24 -298.94 -201.9 -211.7 -265.2 -297.16 -187.24 -206.38 4857.1 0.97485 -297.94
0.067144 -224.76 -226.03 -303.08 -307.86 -209.31 -219.61 -272.77 -305.77 -193.34 -213.37 4607.1 0.9716 -306.39
0.070033 -233.29 -234.62 -311.31 -316.22 -216.29 -227.11 -279.75 -313.77 -198.92 -219.83 4357.3 0.96798 -314.1
0.073045 -241.16 -242.42 -318.48 -323.4 -222.47 -233.67 -285.71 -320.53 -203.61 -225.24 4103.5 0.96392 -320.43
0.076187 -247.84 -249.06 -323.92 -328.86 -227.35 -238.93 -290.03 -325.48 -206.91 -229.21 3841.7 0.95933 -324.81
0.079465 -252.71 -254.03 -326.98 -332.03 -230.35 -242.38 -292.12 -328.07 -208.35 -231.26 3570.8 0.95413 -326.66
0.082883 -255.79 -257.1 -327.69 -332.67 -231.5 -243.79 -292 -328.02 -207.93 -231.18 3293 0.94826 -325.74
0.086448 -256.8 -258.04 -325.73 -330.6 -230.59 -242.99 -289.39 -325.19 -205.51 -228.81 3012.2 0.94167 -321.89
0.090167 -255.97 -257.08 -321.51 -326.16 -227.83 -240.21 -284.71 -319.92 -201.27 -224.44 2735.3 0.93435 -315.5
0.094046 -254.18 -255.23 -316.23 -320.71 -224.08 -236.43 -278.98 -313.58 -196.12 -219.01 2475.5 0.92635 -307.94
0.098091 -252.29 -253.33 -310.94 -315.31 -220.1 -232.46 -273.18 -307.21 -190.64 -213.31 2239.6 0.91761 -300.24
