# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.05 -167.48 -168.8 -244.03 -247.79 -161.19 -166.94 -229 -247.34 -153.83 -165.1 6582.7 0.989 -247.14
0.054473 -181.93 -183.63 -259.95 -263.72 -174.29 -180.89 -243.39 -262.93 -165.48 -178.2 5932.9 0.9851 -263.33
0.059347 -198.96 -200.15 -276.89 -281.22 -189.39 -196.21 -259.12 -279.97 -178.73 -192.35 5354.6 0.98031 -280.72
0.064656 -216.91 -218.1 -295.91 -299.89 -205.21 -212.54 -276.4 -298.09 -192.49 -207.13 4831 0.97454 -298.85
0.070441 -233.73 -235.76 -312.62 -317.31 -219.12 -228.08 -291.47 -314.8 -203.75 -220.66 4322.8 0.96745 -315.09
0.076742 -247.96 -250.07 -324.28 -329.59 -229.67 -239.69 -301.54 -326.12 -210.99 -229.74 3795.6 0.95848 -325.32
0.083608 -255.97 -257.43 -327.79 -332.44 -234.12 -243.77 -303.4 -327.63 -212.51 -230.84 3234.9 0.94694 -325.15
0.091088 -255.57 -256.8 -321.07 -325.03 -229.71 -239.47 -295.73 -318.58 -204.99 -223.31 2671.7 0.93251 -313.87
0.099237 -252.05 -252.69 -310.26 -313.7 -221.79 -231.21 -283.83 -305.31 -193.84 -211.56 2177.6 0.91501 -297.96
0.10812 -253.57 -254.65 -306.84 -310.24 -217.5 -227.62 -277.99 -299.13 -185.35 -203.46 1818.4 0.89387 -288.49
0.11779 -266.78 -267.49 -316.63 -320.03 -222 -232.25 -283.6 -304.73 -183.65 -201.66 1583.8 0.86827 -289.68
0.12833 -286.02 -287.17 -334 -337.6 -229.28 -240.71 -294.71 -316.32 -182.81 -201.77 1410.5 0.83821 -295.62
0.13981 -297.62 -297.85 -341.53 -344.27 -228.21 -239.18 -295.44 -315.87 -174.16 -192.07 1214.4 0.80304 -289.41
0.15231 -288.33 -289.6 -326.07 -329.32 -209.83 -220.9 -274.94 -294.19 -152.07 -168.5 980.86 0.76278 -263.55
0.16594 -275.77 -276.31 -307.1 -309.31 -188.4 -198.24 -250.9 -267.13 -128.25 -142.23 777.98 0.71745 -233.36
0.18079 -280.35 -280.32 -307.2 -309.1 -178.04 -187.04 -241.38 -255.87 -112.73 -124.8 656.56 0.66723 -217.4
0.19696 -294.81 -294.51 -318.68 -320.09 -171.87 -180.5 -238.28 -251.46 -99.961 -110.63 574.22 0.61289 -207.31
0.21458 -290.34 -290.3 -310.05 -311.21 -153.53 -161.21 -218.36 -229.35 -81.053 -89.521 471.55 0.55532 -183.09
0.23378 -278.03 -277.46 -293.09 -293.62 -131.42 -137.54 -192.07 -200.32 -62.054 -68.179 375.76 0.49571 -154.58
0.25469 -282.55 -281.79 -294.3 -294.58 -117.6 -122.7 -176.77 -183.31 -48.922 -53.43 318.39 0.43544 -136.56
0.27748 -283.58 -282.56 -292.15 -292.05 -102.26 -106.3 -158.44 -163.1 -36.879 -39.991 266.56 0.37621 -117.23
0.30231 -273.71 -273.06 -279.27 -279.3 -84.093 -87.188 -134.3 -137.53 -25.848 -27.839 215.2 0.3193 -95.345
0.32935 -275.44 -275.02 -278.57 -278.62 -70.836 -73.233 -116.62 -118.74 -18.231 -19.5 181.15 0.26628 -79.458
0.35882 -270.36 -269.7 -271.1 -270.88 -57.176 -58.818 -96.953 -97.991 -12.104 -12.827 148.62 0.21809 -63.358
0.39092 -267.47 -267.41 -266.22 -266.51 -45.673 -46.934 -79.708 -80.246 -7.8072 -8.2374 123.33 0.17551 -50.222
0.42589 -263.92 -263.64 -260.82 -260.94 -35.765 -36.619 -64.044 -64.139 -4.852 -5.0862 101.81 0.1389 -38.944
0.46399 -261.59 -261.1 -257.05 -256.86 -27.674 -28.261 -50.702 -50.603 -2.9305 -3.0588 84.467 0.10824 -29.887
0.5055 -257.81 -257.35 -252.03 -251.82 -20.951 -21.369 -39.159 -39.005 -1.7039 -1.7743 69.78 0.083034 -22.482
0.55073 -253.86 -253.95 -247.09 -247.31 -15.626 -15.962 -29.718 -29.624 -0.96247 -1.0033 57.742 0.062854 -16.714
0.6 -250.46 -250.39 -242.86 -242.83 -11.524 -11.778 -22.232 -22.16 -0.53042 -0.55405 47.755 0.04704 -12.28
