# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.37753 -267.83 -267.36 -267.38 -267.26 -50.013 -51.393 -86.285 -86.961 -9.3489 -9.8792 132.54 0.19223 -55.138
0.39377 -267.9 -267.45 -266.51 -266.38 -44.893 -46.041 -78.504 -78.891 -7.5307 -7.926 121.49 0.17215 -49.24
0.41071 -266.51 -266.08 -264.27 -264.1 -39.931 -40.903 -70.736 -70.936 -5.9893 -6.288 110.76 0.15373 -43.612
0.42837 -263.96 -263.53 -260.88 -260.72 -35.207 -36.016 -63.139 -63.18 -4.7007 -4.9222 100.54 0.13667 -38.287
0.4468 -262.31 -261.97 -258.52 -258.38 -31.021 -31.708 -56.283 -56.239 -3.6723 -3.8378 91.616 0.12104 -33.613
0.46602 -261.34 -260.97 -256.82 -256.65 -27.299 -27.881 -50.078 -49.973 -2.8543 -2.9788 83.662 0.10684 -29.477
0.48607 -259.46 -259.14 -254.31 -254.17 -23.832 -24.318 -44.169 -44.015 -2.1911 -2.282 76.171 0.093841 -25.643
0.50697 -257.6 -257.26 -251.85 -251.68 -20.745 -21.16 -38.808 -38.648 -1.672 -1.7405 69.341 0.082253 -22.258
0.52878 -256.06 -255.76 -249.78 -249.61 -18.02 -18.388 -34.008 -33.869 -1.2691 -1.322 63.218 0.071896 -19.296
0.55153 -254.14 -253.87 -247.37 -247.22 -15.566 -15.883 -29.611 -29.484 -0.95404 -0.99368 57.549 0.062563 -16.63
0.57525 -252.35 -252.13 -245.12 -245.01 -13.409 -13.683 -25.692 -25.581 -0.71293 -0.74251 52.423 0.054267 -14.295
0.6 -250.59 -250.39 -242.93 -242.84 -11.53 -11.778 -22.229 -22.16 -0.53071 -0.55406 47.755 0.04704 -12.28
