# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.33272 -937.43 -937.88 -1031.2 -1032 -934.61 -935.43 -1027.4 -1031.9 -931.35 -932.97 461.29 0.99738 -1059
0.34703 -924.09 -924.26 -1011.3 -1012.2 -920.86 -921.34 -1007.3 -1012 -917.19 -918.43 415.64 0.99684 -1037.6
0.36196 -902.58 -902.36 -983.21 -983.76 -898.8 -898.98 -979.26 -983.38 -894.57 -895.61 371.12 0.99626 -1007.2
0.37753 -885.67 -885.62 -960.77 -961.3 -881.36 -881.7 -956.79 -960.75 -876.62 -877.8 333.18 0.99558 -983.01
0.39377 -871.5 -871.9 -941.59 -942.43 -866.61 -867.38 -937.41 -941.69 -861.32 -862.88 300.04 0.99481 -962.38
0.41071 -852.46 -853.27 -917.23 -918.56 -846.93 -848.14 -912.92 -917.66 -841.03 -843.05 268.67 0.99399 -936.65
0.42837 -830.63 -831.2 -890.37 -891.31 -824.51 -825.47 -886.17 -890.27 -818.06 -819.77 239.46 0.99311 -907.47
0.4468 -811.87 -812.16 -867.04 -867.67 -805.03 -805.77 -862.67 -866.51 -797.87 -799.42 214.15 0.99212 -881.98
0.46602 -795.58 -795.87 -846.49 -847.21 -787.89 -788.73 -842.05 -845.91 -779.93 -781.65 192.09 0.99103 -859.68
0.48607 -779.49 -779.38 -826.44 -826.77 -770.99 -771.43 -821.96 -825.33 -762.27 -763.56 172.22 0.9898 -837.37
0.50697 -765.01 -764.89 -808.36 -808.71 -755.54 -756 -803.63 -807.09 -745.9 -747.22 154.74 0.98838 -817.41
0.52878 -752.17 -752.7 -792.48 -793.29 -741.74 -742.72 -787.63 -791.42 -731.24 -732.87 139.45 0.98674 -800.02
0.55153 -740.33 -740.45 -777.46 -777.98 -728.9 -729.22 -772.41 -775.77 -717.53 -718.16 125.63 0.98483 -782.6
0.57525 -728.7 -728.48 -763.02 -763.17 -715.9 -715.81 -757.66 -760.53 -703.22 -703.35 113.22 0.9826 -765.54
0.6 -715.04 -715.24 -746.6 -747.16 -700.7 -700.96 -740.76 -744.01 -686.57 -686.97 101.84 0.98004 -747.15
