# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.05 -260.92 -262.36 -415.04 -415.92 -266.91 -262.36 -415 -415.92 -271.44 -262.36 7810.5 1 -406.03
0.052151 -276.59 -278.17 -435.65 -437 -282.57 -278.17 -435.52 -437 -287.08 -278.17 7565.9 1 -427.86
0.054394 -294.26 -295.6 -459.31 -460.08 -299.97 -295.6 -459.12 -460.08 -304.26 -295.6 7343.6 1 -451.78
0.056734 -313.16 -314.56 -483.97 -485.02 -318.85 -314.56 -483.72 -485.02 -323.1 -314.56 7136.4 1 -477.65
0.059175 -333.78 -334.98 -510.66 -511.67 -339.19 -334.98 -510.37 -511.67 -343.21 -334.98 6940.2 1 -505.31
0.06172 -355.36 -356.9 -538.65 -540.02 -361.03 -356.9 -538.23 -540.02 -365.25 -356.9 6751.5 1 -534.79
0.064375 -378.78 -379.98 -568.53 -569.53 -383.95 -379.98 -568.07 -569.53 -387.77 -379.98 6562.5 1 -565.54
0.067144 -402.45 -403.77 -598.35 -599.38 -407.56 -403.77 -597.8 -599.38 -411.32 -403.77 6366.2 1 -596.76
0.070033 -426.73 -427.72 -627.8 -628.89 -431.73 -427.72 -627.17 -628.89 -435.38 -427.72 6155.6 1 -627.75
0.073045 -450.2 -451.09 -655.8 -656.84 -454.92 -451.09 -655.11 -656.84 -458.35 -451.09 5924.1 1 -657.27
0.076187 -471.28 -472.98 -680.81 -682.15 -475.89 -472.98 -680.05 -682.15 -479.22 -472.98 5669.2 1 -684.24
0.079465 -491.66 -492.87 -702.94 -703.99 -495.83 -492.87 -702.16 -703.99 -498.8 -492.87 5390 1 -707.79
0.082883 -508.36 -509.83 -719.62 -721.3 -512.49 -509.83 -718.73 -721.3 -515.42 -509.83 5088.2 1 -726.81
0.086448 -522.79 -524.08 -733.22 -734.39 -526.45 -524.08 -732.31 -734.39 -529 -524.08 4772.3 1 -741.57
0.090167 -534.53 -535.87 -742.39 -743.72 -538.12 -535.87 -741.38 -743.72 -540.61 -535.87 4451.1 1 -752.49
0.094046 -545.21 -546.29 -749.73 -751.05 -548.49 -546.29 -748.7 -751.05 -550.77 -546.29 4139.9 1 -761.37
0.098091 -556.38 -556.91 -757.82 -758.38 -559.49 -556.91 -756.74 -758.38 -561.62 -556.91 3849.5 1 -770.16
0.10231 -567.85 -569.09 -766.46 -767.77 -570.7 -569.09 -765.34 -767.77 -572.58 -569.09 3588.4 1 -781.06
0.10671 -584.58 -585.53 -781.6 -782.59 -587.23 -585.53 -780.43 -782.59 -588.97 -585.53 3367.4 1 -797.39
0.1113 -606.65 -607.59 -803.53 -804.67 -609.18 -607.59 -802.27 -804.67 -610.8 -607.59 3187.6 1 -821.14
0.11609 -634.31 -635.27 -832.63 -833.74 -636.69 -635.27 -831.32 -833.74 -638.18 -635.27 3040.3 1 -851.98
0.12108 -667.03 -668.3 -867.6 -869.18 -669.3 -668.3 -866.23 -869.18 -670.66 -668.3 2916.9 1 -889.34
0.12629 -703.28 -703.91 -906.57 -907.45 -705.49 -703.91 -905.14 -907.45 -706.79 -703.91 2803 1 -929.63
0.13172 -736.73 -738.02 -941.93 -943.18 -738.92 -738.02 -940.39 -943.18 -740.23 -738.02 2681 1 -967.29
0.13739 -765.32 -766.41 -969.88 -971.11 -767.46 -766.41 -968.23 -971.11 -768.73 -766.41 2539.9 1 -996.94
0.1433 -783.72 -784.65 -984.68 -985.87 -785.81 -784.65 -983.07 -985.87 -787.11 -784.65 2372.5 1 -1013
0.14947 -792.67 -793.25 -987.26 -988.38 -794.67 -793.25 -985.63 -988.38 -795.89 -793.25 2188.1 1 -1016.4
0.1559 -793.75 -794.82 -981.26 -982.34 -795.62 -794.82 -979.76 -982.34 -796.79 -794.82 2000.6 1 -1011
0.1626 -795.92 -796.74 -975.92 -976.85 -797.61 -796.74 -974.43 -976.85 -798.58 -796.74 1829.8 1 -1005.9
0.1696 -804.55 -805.84 -978.79 -980.32 -806.11 -805.84 -977.14 -980.32 -806.92 -805.84 1688.7 1 -1010
0.17689 -824.51 -825.33 -995.43 -996.42 -825.97 -825.33 -993.74 -996.42 -826.7 -825.33 1578.6 1 -1027.1
