# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, dxdx22, dxdx22_EdS, PL_cc, TL_x 
0.05 158.41 159.19 131.06 131.27 157.07 157.44 130.89 131.03 155.82 155.71 6582.7 0.989
0.054473 182.58 183.49 152.38 152.49 180.57 180.76 152.09 152.03 178.69 178.07 5932.9 0.9851
0.059347 208.59 209.26 175.1 175.14 205.71 205.14 174.64 174.36 202.98 201.1 5354.6 0.98031
0.064656 235.62 236.02 199.04 198.76 231.47 230.01 198.3 197.56 227.54 224.16 4831 0.97454
0.070441 262.54 263.5 222.97 223.14 256.71 254.93 221.85 221.38 251.2 246.63 4322.8 0.96745
0.076742 289.51 291.26 247.66 247.96 281.75 279.17 245.96 245.35 274.46 267.58 3795.6 0.95848
0.083608 317.33 318.14 272.51 272.27 306.47 301.25 269.87 268.34 296.29 285.27 3234.9 0.94694
0.091088 340.52 342.69 294.45 294.91 325.39 319.56 290.53 289.06 311.19 297.99 2671.7 0.93251
0.099237 362.01 362.88 313.85 314.01 341.48 332.04 308.24 305.61 322.49 303.82 2177.6 0.91501
0.10812 377.6 377.98 330.28 328.85 350.66 337.87 321.92 317.08 326.1 302.01 1818.4 0.89387
0.11779 388.12 389.19 340.8 340.16 353.16 337.92 329.29 323.89 321.9 293.4 1583.8 0.86827
0.12833 396.92 398.94 349.7 349.81 351.87 334.4 333.64 327.76 312.67 280.29 1410.5 0.83821
0.13981 406.59 408 359.4 358.63 349.23 327.64 337.21 329.04 300.84 263.11 1214.4 0.80304
0.15231 412.13 414.78 365.69 365.33 340.36 316.38 335.31 326.35 282.18 241.33 980.86 0.76278
0.16594 412.64 415.98 366.77 367.38 324.48 298.45 326.85 317.28 256.55 214.12 777.98 0.71745
0.18079 408.78 412.73 364.16 365.29 303.06 275.39 313.88 302.38 226.41 183.75 656.56 0.66723
0.19696 406.33 408.66 362.64 362.23 280.47 250.47 297.79 284.57 195.5 153.51 574.22 0.61289
0.21458 400.85 404.96 358.22 359.16 253.54 224.88 277.46 264.69 162.37 124.88 471.55 0.55532
0.23378 394.91 397.82 353.67 353.33 225.56 197.2 254.12 241.06 130.84 97.756 375.76 0.49571
0.25469 384.4 388.08 343.88 345.15 194.6 168.99 226.23 214.78 100.47 73.585 318.39 0.43544
0.27748 376.75 379.62 337.41 337.88 165.88 142.82 199 188.7 74.77 53.728 266.56 0.37621
0.30231 367.09 369.99 328.88 329.73 137.77 118.14 170.51 162.36 53.136 37.721 215.2 0.3193
0.32935 356.67 359.73 319.99 321.06 111.59 95.789 142.49 136.83 36.017 25.507 181.15 0.26628
0.35882 347.23 350.1 311.64 312.94 88.74 76.352 116.72 113.21 23.471 16.651 148.62 0.21809
0.39092 336.76 340.29 302.74 304.72 68.666 59.725 93.012 91.752 14.521 10.482 123.33 0.17551
0.42589 327.55 330.68 295.31 296.71 52.227 45.931 72.665 72.932 8.6474 6.3797 101.81 0.1389
0.46399 318.33 321.43 287.46 289.05 38.948 34.79 55.526 56.944 4.9477 3.7655 84.467 0.10824
0.5055 311.91 312.61 281.69 281.75 28.769 25.957 42.024 43.641 2.7517 2.1553 69.78 0.083034
0.55073 302.57 303.85 274.14 274.5 20.69 19.098 30.952 32.88 1.4634 1.2004 57.742 0.062854
0.6 295 295.39 267.7 267.51 14.765 13.895 22.62 24.412 0.76186 0.65363 47.755 0.04704
