# k, dcTc22, dcTc22_EdS, dcTx22, dcTx22_EdS, PL_cc, TL_x 
0.05 1.1129 1.11 1.0894 1.0819 519.9 0.9211368720642467
0.060023 1.4352 1.4363 1.3939 1.3879 440.21 0.8998875164031546
0.072055 1.8409 1.8331 1.7675 1.7515 366.45 0.8740767433130306
0.086498 2.263 2.2612 2.1403 2.1278 264.59 0.8431778898386981
0.10384 2.6091 2.6127 2.4153 2.4062 179.18 0.806773856721811
0.12465 2.9284 2.9256 2.6386 2.6179 145.12 0.7646275763293705
0.14964 3.2362 3.2479 2.8113 2.8022 102.8 0.7167568807670517
0.17964 3.4261 3.4235 2.8398 2.8132 71.585 0.6635034874061702
0.21564 3.5762 3.592 2.7922 2.7798 51.012 0.6055823784418546
0.25887 3.6477 3.6546 2.6451 2.6213 36.292 0.544096297713824
0.31076 3.6534 3.6516 2.4205 2.3873 24.502 0.4805019414098881
0.37306 3.6104 3.6046 2.1449 2.107 16.719 0.41652076313841935
0.44784 3.4934 3.5081 1.8216 1.7962 11.349 0.35399802713373774
0.53761 3.3585 3.3707 1.5038 1.4785 7.6137 0.29472687258123154
0.64537 3.2169 3.2131 1.2096 1.1798 5.0672 0.24026591296622435
0.77474 3.0352 3.0346 0.93749 0.91146 3.3512 0.1917846957345617
0.93004 2.8482 2.8454 0.70532 0.6833 2.1993 0.14996774782561317
1.1165 2.6494 2.6502 0.51508 0.49791 1.4347 0.11499470892047015
1.3403 2.4537 2.4524 0.36649 0.35327 0.93074 0.08659508025735363
1.6089 2.2541 2.257 0.25351 0.24496 0.59985 0.0641580977011671
1.9315 2.0618 2.0624 0.1715 0.16626 0.38484 0.04686762443600401
2.3186 1.8667 1.8673 0.11309 0.11063 0.24577 0.03383176718773839
2.7834 1.6938 1.6924 0.073811 0.072693 0.15607 0.024185482577820494
3.3414 1.5313 1.5327 0.047579 0.047198 0.098789 0.017156837181971696
4.0112 1.3856 1.3856 0.030465 0.030331 0.062281 0.012098603896902205
