# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, PL_cc, TL_x 
0.03 -95.726 -96.864 -152.83 -156.02 -84.809 -89.967 -130.97 -153.32 11518 0.9288
0.031159 -100.2 -101.5 -158.63 -161.97 -88.139 -93.891 -135.71 -158.97 11122 0.92507
0.032364 -104.91 -106.16 -164.28 -167.75 -91.596 -97.794 -140.37 -164.41 10715 0.92119
0.033615 -109.55 -110.78 -169.97 -173.4 -94.961 -101.6 -145.02 -169.7 10299 0.91712
0.034914 -114.08 -115.45 -175.25 -178.9 -98.178 -105.39 -149.3 -174.8 9878.2 0.91289
0.036263 -118.72 -119.93 -180.57 -184.11 -101.44 -108.95 -153.58 -179.58 9456 0.90847
0.037665 -123.33 -124.5 -185.67 -189.2 -104.62 -112.53 -157.67 -184.22 9036.3 0.90386
0.03912 -127.96 -129.08 -190.64 -194.2 -107.75 -116.05 -161.63 -188.72 8623.9 0.89906
0.040632 -132.54 -133.66 -195.63 -199.09 -110.78 -119.5 -165.53 -193.07 8222 0.89406
0.042203 -137.27 -138.43 -200.46 -204.06 -113.88 -123.04 -169.32 -197.46 7831.5 0.88886
0.043834 -142.08 -143.12 -205.34 -208.92 -116.99 -126.44 -173.12 -201.69 7455 0.88345
0.045528 -146.94 -148.07 -210.34 -213.94 -120.06 -129.98 -176.95 -206.02 7094.4 0.87783
0.047287 -152.01 -153.13 -215.45 -219.02 -123.23 -133.53 -180.84 -210.37 6751.6 0.872
0.049115 -157.5 -158.55 -220.78 -224.47 -126.64 -137.29 -184.91 -214.99 6430.7 0.86594
0.051013 -163.24 -164.31 -226.6 -230.34 -130.2 -141.25 -189.3 -219.95 6129.5 0.85966
0.052985 -169.37 -170.33 -232.82 -236.36 -133.94 -145.31 -193.98 -224.98 5846.5 0.85315
0.055033 -175.81 -176.81 -239.28 -242.9 -137.85 -149.65 -198.82 -230.43 5580.5 0.8464
0.05716 -182.69 -183.57 -246.04 -249.65 -141.96 -154.09 -203.88 -235.99 5329.1 0.83942
0.059369 -189.73 -190.65 -253.16 -256.72 -146.07 -158.66 -209.13 -241.75 5089.9 0.8322
0.061663 -197.07 -198.02 -260.32 -263.98 -150.31 -163.32 -214.36 -247.59 4861.6 0.82474
0.064047 -204.56 -205.41 -267.57 -271.23 -154.51 -167.82 -219.56 -253.31 4637.6 0.81703
0.066522 -211.66 -212.64 -274.25 -278.01 -158.26 -172.04 -224.24 -258.47 4414 0.80908
0.069093 -218.57 -219.3 -280.53 -284.02 -161.72 -175.63 -228.48 -262.8 4187.3 0.80088
0.071763 -224.35 -225.2 -285.32 -288.9 -164.22 -178.45 -231.43 -265.96 3954.3 0.79243
0.074537 -229.16 -229.75 -288.74 -292.07 -165.88 -180.06 -233.18 -267.44 3712.9 0.78373
0.077418 -232.48 -233.19 -290.26 -293.63 -166.34 -180.67 -233.34 -267.36 3462.7 0.77478
0.08041 -233.9 -234.62 -289.52 -292.78 -165.38 -179.62 -231.58 -265 3205.5 0.76558
0.083517 -233.63 -234.36 -286.71 -289.85 -163.15 -177.21 -228.16 -260.7 2945.3 0.75613
0.086745 -231.76 -232.42 -282.01 -284.97 -159.79 -173.49 -223.16 -254.61 2688.3 0.74644
0.090098 -229.01 -229.5 -276.28 -278.97 -155.8 -169.03 -217.38 -247.5 2441.7 0.73651
0.09358 -226.07 -226.31 -270.39 -272.8 -151.71 -164.38 -211.44 -240.25 2215.4 0.72633
0.097197 -223.52 -223.84 -265.31 -267.61 -147.88 -160.25 -206.11 -233.86 2016.6 0.71591
0.10095 -222.55 -222.9 -262.05 -264.28 -145.09 -157.2 -202.18 -229.06 1847.4 0.70527
0.10486 -223.57 -223.93 -261.23 -263.4 -143.55 -155.49 -200.07 -226.34 1708.1 0.69439
0.10891 -227.04 -227.36 -263.3 -265.4 -143.5 -155.35 -200.09 -226 1596.5 0.6833
0.11312 -232.82 -233.16 -268.06 -270.1 -144.76 -156.68 -202.05 -227.82 1507.4 0.67198
0.11749 -240.87 -241.16 -275.31 -277.26 -147.26 -159.28 -205.72 -231.53 1434.7 0.66046
0.12203 -249.66 -249.6 -283.21 -284.94 -149.99 -161.93 -209.74 -235.47 1367.8 0.64874
0.12675 -257.04 -257.2 -289.73 -291.54 -151.65 -163.79 -212.45 -238.29 1297.8 0.63683
0.13164 -262.05 -262.13 -293.33 -295.08 -151.73 -163.76 -212.96 -238.42 1218.4 0.62474
0.13673 -263.11 -263.18 -292.65 -294.27 -149.43 -161.19 -210.22 -234.9 1126.9 0.61247
0.14202 -259.82 -259.95 -287.22 -288.77 -144.65 -155.98 -203.99 -227.62 1025.5 0.60004
0.14751 -253.32 -253.4 -278.32 -279.75 -138.13 -148.87 -195.34 -217.61 921.43 0.58747
0.15321 -245.9 -245.97 -268.48 -269.82 -131.25 -141.37 -186.14 -207 823.79 0.57475
0.15913 -239.63 -239.55 -260.13 -261.22 -125.13 -134.61 -178.04 -197.53 739.75 0.56191
0.16528 -236.52 -236.55 -255.34 -256.45 -120.73 -129.86 -172.36 -191.02 673.34 0.54896
0.17167 -237.79 -237.85 -255.36 -256.41 -118.56 -127.47 -169.91 -188 624.25 0.53592
0.1783 -243.15 -243.04 -259.7 -260.58 -118.34 -127.06 -170.25 -187.94 588.28 0.52279
0.18519 -249.99 -249.91 -265.61 -266.5 -118.65 -127.35 -171.42 -188.95 557.69 0.50959
0.19235 -254.68 -254.59 -269.28 -270.1 -117.81 -126.37 -170.94 -188.11 524.13 0.49634
0.19978 -254.69 -254.62 -267.99 -268.77 -114.72 -122.99 -167.22 -183.74 483.65 0.48305
0.2075 -249.98 -249.83 -261.72 -262.44 -109.56 -117.36 -160.44 -175.97 437.71 0.46975
0.21552 -242.28 -242.27 -252.58 -253.3 -103.25 -110.58 -151.95 -166.47 391.79 0.45644
0.22385 -236.33 -236.2 -245.27 -245.84 -97.839 -104.67 -144.71 -158.22 352.48 0.44314
0.23251 -234.51 -234.46 -242.38 -242.94 -94.237 -100.79 -140.12 -153 322.95 0.42987
0.24149 -237.01 -236.68 -243.92 -244.23 -92.364 -98.612 -138.07 -150.38 301.07 0.41665
