# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, PL_cc, TL_x 
0.01 -10.823 -11.495 -21.497 -22.214 -14.276 -11.331 -19.047 -22.172 13361 0.98574
0.0106 -12.495 -13.206 -24.611 -25.388 -15.871 -13 -21.741 -25.334 13656 0.98438
0.011237 -14.404 -15.158 -28.169 -28.971 -17.69 -14.899 -24.834 -28.902 13927 0.98291
0.011911 -16.56 -17.369 -31.911 -32.993 -19.631 -17.045 -28.084 -32.903 14170 0.9813
0.012626 -19.05 -19.829 -36.305 -37.426 -21.876 -19.423 -31.93 -37.312 14383 0.97956
0.013384 -21.775 -22.606 -41.142 -42.354 -24.305 -22.101 -36.119 -42.208 14558 0.97767
0.014187 -24.889 -25.713 -46.603 -47.808 -27.076 -25.086 -40.853 -47.621 14692 0.97562
0.015039 -28.302 -29.139 -52.3 -53.769 -30.117 -28.364 -45.725 -53.532 14783 0.97339
0.015942 -31.907 -32.945 -58.572 -60.265 -33.225 -31.989 -51.13 -59.966 14826 0.97098
0.016898 -36.121 -37.161 -65.481 -67.336 -36.843 -35.986 -57.079 -66.959 14816 0.96837
0.017913 -40.756 -41.724 -72.806 -74.868 -40.768 -40.286 -63.425 -74.396 14750 0.96554
0.018988 -45.582 -46.681 -80.724 -82.943 -44.842 -44.93 -70.167 -82.356 14623 0.96249
0.020128 -50.947 -52.047 -89.149 -91.487 -49.324 -49.923 -77.372 -90.759 14435 0.9592
0.021336 -56.554 -57.789 -98.169 -100.43 -53.972 -55.226 -85.019 -99.531 14184 0.95564
0.022617 -62.546 -63.907 -107.07 -109.74 -58.831 -60.828 -92.564 -108.64 13869 0.95181
0.023974 -69.003 -70.271 -116.2 -119.23 -64.026 -66.595 -100.28 -117.89 13492 0.94769
0.025413 -75.498 -77.005 -125.6 -128.93 -69.188 -72.636 -108.22 -127.31 13053 0.94326
0.026939 -82.496 -83.845 -135.1 -138.54 -74.64 -78.689 -116.16 -136.59 12558 0.93851
0.028556 -89.553 -90.911 -144.91 -148.12 -80.145 -84.856 -124.31 -145.79 12012 0.9334
0.03027 -97.035 -97.954 -154.24 -157.46 -85.773 -90.895 -132.14 -154.69 11426 0.92793
0.032087 -103.94 -105.13 -163.4 -166.51 -90.883 -96.94 -139.53 -163.25 10808 0.92208
0.034013 -110.9 -112.26 -171.74 -175.14 -95.928 -102.81 -146.46 -171.31 10168 0.91583
0.036055 -118.29 -119.24 -179.6 -183.29 -101.17 -108.41 -152.94 -178.84 9520.4 0.90915
0.038219 -124.16 -126.32 -187.2 -191.21 -105.03 -113.94 -158.73 -186.03 8877.8 0.90203
0.040513 -132.18 -133.3 -195.27 -198.74 -110.59 -119.23 -165.29 -192.76 8252.3 0.89446
0.042945 -139.43 -140.53 -202.47 -206.25 -115.29 -124.57 -170.84 -199.37 7654.1 0.8864
0.045523 -146.99 -148.06 -210.4 -213.95 -120.16 -129.97 -176.91 -206.04 7095.5 0.87785
0.048255 -154.82 -156.12 -218.24 -222.04 -124.97 -135.64 -182.98 -212.95 6579.6 0.86879
0.051152 -164.1 -164.8 -227.17 -230.78 -130.76 -141.6 -189.81 -220.33 6108.9 0.8592
0.054222 -173.13 -174.19 -236.61 -240.23 -136.17 -147.9 -196.89 -228.2 5681.8 0.84907
0.057477 -184.05 -184.63 -247.54 -250.7 -142.78 -154.79 -205.07 -236.86 5292.5 0.83838
0.060927 -195.15 -195.71 -258.08 -261.74 -149.25 -161.88 -212.86 -245.81 4933.6 0.82713
0.064584 -205.9 -207.06 -269 -272.75 -155.16 -168.82 -220.52 -254.48 4588.4 0.8153
0.068461 -216.43 -217.74 -278.68 -282.67 -160.49 -174.82 -227.14 -261.86 4242.7 0.80289
0.07257 -225.53 -226.65 -286.02 -290 -164.54 -179.03 -231.63 -266.56 3884.1 0.78989
0.076926 -231.53 -232.68 -289.87 -293.46 -166.02 -180.63 -233.14 -267.47 3505.2 0.7763
0.081544 -233.89 -234.59 -288.75 -291.84 -164.64 -178.79 -230.57 -263.54 3109.1 0.76212
0.086439 -232.04 -232.73 -282.8 -285.57 -160.16 -173.93 -223.89 -255.3 2712.2 0.74736
0.091627 -227.63 -228.32 -273.71 -276.51 -153.94 -167.14 -214.73 -244.53 2340.3 0.73202
0.097127 -223.44 -223.89 -265.18 -267.66 -147.77 -160.33 -206.06 -233.93 2020 0.71611
0.10296 -222.76 -222.8 -261.08 -263.07 -144.06 -155.89 -200.73 -227.01 1768.8 0.69966
0.10914 -226.97 -227.55 -263.06 -265.5 -143.34 -155.34 -199.79 -225.97 1590.6 0.68267
